Row Label,County,Karen Martin,Mark Spinks
Yellowhawk 58,WL,30,8
CP 3 63,WL,354,88
Touchet 5 56(*),WL,0,0
Spruce 24,WL,146,51
Birch 05,WL,161,58
Baumeister 04,WL,274,92
Jefferson 13,WL,415,132
Ice Harbor 34,WL,259,127
Alder 02,WL,110,50
Waitsburg 65,WL,341,84
Lincoln 49,WL,58,7
CP 1 61,WL,332,118
Watertown 29,WL,166,78
Frenchtown 4 45,WL,35,9
Ritz 53,WL,402,100
CP 2 62,WL,244,96
Frenchtown 5 44,WL,139,53
Alderbrook 01,WL,147,75
Baker 33,WL,85,13
Edison 08,WL,191,60
Pine 21,WL,121,42
Mill Creek 50,WL,189,57
Sharpstein 23,WL,160,69
Gose 47,WL,77,25
CP 5 67,WL,302,88
Henderson 11,WL,174,83
Burbank 38,WL,314,132
Garfield 09,WL,202,86
Washington 60,WL,111,25
Garrison 46,WL,171,56
Berney 35,WL,184,77
Isaacs 12,WL,140,42
Paine 20,WL,95,29
Pleasant 22,WL,368,122
Wallula 59,WL,28,9
Monroe 18,WL,458,144
Ash 03,WL,286,103
Dixie 41,WL,183,62
Touchet 4 55,WL,256,53
CP 6 68,WL,50,15
Eureka 4 43(*),WL,0,0
Blalock 36,WL,335,103
Stadium 25,WL,149,68
Clyde 39,WL,23,11
CP 4 66,WL,390,102
Pros Point 52,WL,647,237
Wainwright 28,WL,306,98
Moore 51,WL,147,69
Derry 40,WL,100,45
Eureka 5 42(*),WL,0,0
College 07,WL,201,43
Prescott 64,WL,65,15
Green Park 10,WL,143,40
Twin Grove 57,WL,181,47
Tausick 26,WL,170,81
Marcus 17,WL,483,150
Braden 37,WL,360,129
McNary 54,WL,178,54
Maple 16,WL,414,108
Total,WL,12446,4135
Abbott 31,WL,230,67
Clark 06,WL,119,44
