Row Label,County,Rich Melnick
02 - GRAYS RIVER,WK,68
07 - COLUMBIA,WK,122
10 - SOUTH CATHLAMET,WK,87
03 - ROSBURG / ALTOONA,WK,87
11 - NORTH CATHLAMET,WK,42
05 - ELOCHOMAN,WK,146
04 - SKAMOKAWA,WK,93
09 - WEST PUGET ISLAND,WK,153
08 - EAST PUGET ISLAND,WK,70
06 - ROSEDALE,WK,80
Total,WK,1004
01 - DEEP RIVER,WK,56
