Row Label,County,Susan Fagan
CLARKSTON #2,AS,185
SWALLOWS NEST,AS,362
WEST CLARKSTON #1,AS,221
WEST CLARKSTON #2,AS,216
WEST CLARKSTON #3,AS,274
ASOTIN #1,AS,172
ASOTIN #2,AS,180
SOUTH CLARKSTON #1,AS,214
SOUTH CLARKSTON #2,AS,279
W ASOTIN,AS,155
CLARKSTON #6,AS,201
CLARKSTON #7,AS,133
RURAL ASOTIN,AS,141
CLARKSTON #4,AS,199
Total,AS,5854
ANATONE,AS,122
CLARKSTON #3,AS,166
CLARKSTON HTS #4,AS,246
CLARKSTON #8,AS,177
CLARKSTON HTS #3,AS,101
CLARKSTON HTS #2,AS,444
CLARKSTON HTS #1,AS,258
CLARKSTON #5,AS,124
CLARKSTON HTS #7,AS,308
CLARKSTON HTS #6,AS,382
CLARKSTON HTS #5,AS,460
CLARKSTON #1,AS,134
