Row Label,County,Rob Lawrence-Berrey
DAMMAN,KS,203
VANTAGE,KS,17
PARK,KS,228
TEANAWAY,KS,163
ELLENSBURG 20,KS,50
CLE ELUM 4,KS,168
ELLENSBURG 22,KS,109
ELLENSBURG 23,KS,135
CLE ELUM 1,KS,102
ELLENSBURG 25,KS,209
CLE ELUM 3,KS,30
CLE ELUM 2,KS,73
SOUTH CLE ELUM,KS,119
FAIRVIEW,KS,134
RONALD,KS,84
NORTHEAST FAIRVIEW,KS,208
ELLENSBURG 24,KS,237
ELLENSBURG 9,KS,58
ELLENSBURG 8,KS,53
RIDGEWAY,KS,282
ELLENSBURG 1,KS,33
ELLENSBURG 2,KS,47
ELLENSBURG 5,KS,46
ELLENSBURG 4,KS,27
ELLENSBURG 7,KS,32
ELLENSBURG 6,KS,40
EAST SANDERS,KS,193
THRALL,KS,180
ELLENSBURG 21,KS,80
MOUNTAIN,KS,74
HYAK,KS,55
ROSLYN 1,KS,96
ROSLYN 2,KS,62
KITTITAS 1,KS,86
KACHESS,KS,57
MANASTASH,KS,145
DENMARK,KS,263
ROSLYN OUTLYING,KS,36
SOUTH ELLENSBURG,KS,239
DRY CREEK,KS,233
NORTH CENTRAL,KS,162
ELLENSBURG 11,KS,80
ELLENSBURG 10,KS,81
ELLENSBURG 13,KS,56
ELLENSBURG 12,KS,66
ELLENSBURG 15,KS,94
ELLENSBURG 14,KS,85
ELLENSBURG 17,KS,132
ELLENSBURG 16,KS,145
ELLENSBURG 19,KS,204
ELLENSBURG 18,KS,29
WESTSIDE,KS,251
EASTON,KS,212
PEOH POINT,KS,169
SANDERS,KS,82
KITTITAS 2,KS,111
NORTH ELLENSBURG,KS,256
THORP,KS,190
SWAUK,KS,114
Total,KS,7205
