Row Label,County,Jaime Herrera Beutler,Bob Dingethal
COLUMBUS,KT,34,4
N DALLES,KT,251,123
ROOSEVELT,KT,54,13
GLENWOOD,KT,226,72
HGH PRAIRIE,KT,39,37
LYLE,KT,236,190
F VALLEY,KT,179,209
BINGEN,KT,64,80
WISHRAM,KT,47,42
WHITE SALMON,KT,202,265
ALDER CREEK,KT,126,32
ALDERDALE,KT,31,8
N WHITE SALMON,KT,117,171
PINE FOREST,KT,519,254
GOLDENDALE 3,KT,209,102
ORCHARD HTS,KT,189,55
GOLDENDALE 1,KT,312,109
N F VALLEY,KT,249,179
E LYLE,KT,83,71
E KLICKITAT,KT,52,36
W KLICKITAT,KT,50,33
HUSUM,KT,223,154
TROUT LAKE,KT,186,185
RIVER,KT,12,11
CENTERVILLE,KT,257,65
WOODLAND,KT,594,198
GOLDENDALE 2,KT,290,89
MT BROOK,KT,155,160
Total,KT,5071,2982
APPLETON,KT,85,35
