Row Label,County,Kathy Haigh,Dan Griffey
CHARLAND 110,KP,172,205
PORT ORCHARD 206,KP,0,0
HUNTER 219,KP,158,259
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
LOST HIGHWAY 157,KP,222,303
BREMERTON 293(*),KP,0,0
ANDERSON CREEK 163,KP,182,250
FERNWOOD 230,KP,252,346
ALPINE 111,KP,185,218
BELFAIR VALLEY 280,KP,68,105
SUNNYSLOPE 281,KP,167,243
POWERLINE 086(*),KP,0,0
HEINS CREEK 297,KP,0,0
BREMERTON 012,KP,74,32
BREMERTON 013,KP,242,141
UELAND 082,KP,0,0
HOLLY 158,KP,63,74
BREMERTON 032,KP,42,20
PIONEER 152,KP,289,339
BREMERTON 030,KP,227,166
BREMERTON 031,KP,119,106
BREMERTON 037,KP,281,298
LAKE HELENA 214,KP,180,261
DICKENSON 282,KP,224,268
SEABECK 155,KP,285,436
ERLANDS POINT 130,KP,187,167
BREMERTON 109,KP,21,18
BREMERTON 107,KP,0,0
BAYVIEW 087,KP,76,59
SINCLAIR 275,KP,122,130
PORT ORCHARD 215,KP,0,0
BREMERTON 029,KP,237,149
SYMINGTON 151,KP,120,153
ROCKY POINT 083,KP,325,286
HERITAGE PARK 112,KP,171,191
BREMERTON 294,KP,0,0
RIDGEWAY 084,KP,53,81
MINTERBROOK 216,KP,104,137
COUNTRY CLUB 113,KP,134,143
APEX 162,KP,236,360
EAGLE CREST 164,KP,285,303
BREMERTON 007,KP,5,5
LARSON 153,KP,272,328
TWIN LAKES 285,KP,71,78
DRIVE-IN 283,KP,6,6
BREMERTON 088,KP,38,38
BREMERTON 114,KP,0,0
Total,KP,5917,6719
KITSAP LAKE 085(*),KP,0,0
