Row Label,County,Yes,No
Usk,PE,133,52
Diamond Lk East,PE,72,45
Sacheen,PE,134,130
Diamond Lk,PE,220,167
Diamond Lk West,PE,134,63
Noble,PE,211,125
Furport,PE,153,99
Deer Valley South,PE,50,26
Cusick,PE,80,55
Ione East,PE,130,46
Kalispel Leclerc,PE,109,42
Tiger Dry Canyon,PE,218,97
Ruby,PE,21,5
Ione West,PE,154,51
Newport NE,PE,153,99
Metaline,PE,68,31
Newport SE,PE,71,41
Skookum,PE,48,20
Newport NW,PE,143,94
Newport SW,PE,114,74
Dalkena,PE,186,117
Deer Valley North,PE,159,75
Locke,PE,30,12
Fertile Valley South,PE,124,50
Fertile Valley North,PE,128,61
Camden,PE,130,60
Total,PE,3292,1813
Metaline Falls,PE,119,76
