Row Label,County,No,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Yes
KEN 47-2836,KI,112,531,15,259,0,132
KEN 33-3232,KI,62,502,15,204,0,127
KEN 47-3189,KI,85,732,21,206,1,99
KEN 33-3629,KI,4,61,2,27,0,21
KEN 47-3184,KI,147,776,25,384,0,212
KEN 47-2834,KI,103,564,23,255,0,129
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,126,473,17,298,0,155
KEN 33-0576,KI,74,394,6,165,0,85
KEN 33-0603,KI,151,649,30,347,0,166
KEN 47-0238,KI,154,723,24,349,0,171
KEN 11-0918,KI,134,605,12,257,0,111
KEN 47-2939,KI,66,314,7,121,0,48
KEN 47-0835,KI,124,645,21,276,0,131
KEN 47-3136,KI,48,293,5,119,0,66
KEN 47-3190,KI,92,693,21,241,0,128
KEN 11-3663,KI,64,387,16,225,0,145
KEN 47-3352,KI,0,0,0,0,0,0
KEN 47-3180,KI,65,541,11,187,0,111
KEN 47-0246,KI,142,479,10,261,0,109
KEN 47-2599,KI,160,748,18,345,0,167
KEN 47-2838,KI,124,650,18,307,0,165
KEN 33-3332,KI,236,863,24,437,0,177
KEN 47-0482,KI,134,671,27,301,0,140
KEN 47-0880,KI,73,362,2,148,0,73
KEN 47-3537,KI,115,557,20,249,0,114
KEN 47-0798,KI,191,742,26,394,0,177
KEN 47-3447,KI,48,248,4,107,0,55
KEN 47-2667,KI,55,528,21,176,0,100
KEN 33-3445,KI,68,375,8,188,0,112
KEN 33-2426,KI,139,550,18,298,0,141
KEN 47-2585,KI,169,819,30,431,0,232
KEN 47-0498,KI,30,231,10,94,0,54
KEN 33-2618,KI,150,795,16,306,0,140
KEN 47-1034,KI,155,745,27,356,0,174
KEN 47-1151,KI,97,398,15,229,0,117
KEN 47-0662,KI,183,659,35,399,0,181
KEN 11-3403,KI,118,549,18,264,0,128
KEN 47-3275,KI,121,854,21,288,0,146
KEN 47-2985,KI,71,571,12,198,0,115
KEN 33-0591,KI,63,274,8,140,0,69
KEN 33-0594,KI,84,366,17,189,0,88
KEN 47-2403,KI,57,466,17,171,0,97
KEN 47-3300,KI,105,527,17,254,0,132
KEN 47-3579,KI,36,273,8,100,0,56
KEN 33-3378,KI,116,725,21,333,0,196
KEN 33-2443,KI,26,303,7,82,0,49
KEN 33-3172,KI,46,571,5,142,0,91
KEN 33-0270,KI,35,271,6,87,0,46
KEN 47-2485,KI,143,616,16,288,0,129
KEN 33-3174,KI,131,652,15,315,0,169
KEN 33-2699,KI,90,401,13,198,0,95
KEN 47-2477,KI,159,535,19,361,0,183
KEN 11-0893,KI,99,580,15,209,0,95
KEN 47-2708,KI,103,485,11,226,0,112
KEN 47-2709,KI,176,839,26,407,1,204
KEN 47-1076,KI,148,668,16,301,0,137
KEN 47-2704,KI,178,773,26,430,0,226
KEN 33-3670,KI,53,288,4,120,0,63
KEN 33-2567,KI,75,369,16,187,0,96
KEN 33-0578,KI,64,501,12,207,0,131
KEN 47-2490,KI,150,673,17,331,0,164
KEN 33-0577,KI,62,371,16,170,0,92
KEN 33-2569,KI,177,856,23,390,0,190
KEN 33-0575,KI,68,413,5,153,0,80
KEN 33-2570,KI,107,582,17,265,0,141
KEN 33-3644,KI,72,486,14,213,0,127
KEN 47-2568,KI,165,866,29,403,0,209
KEN 47-0842,KI,163,796,28,368,0,177
KEN 47-3676,KI,31,127,4,64,0,29
KEN 47-0910,KI,159,765,12,309,0,138
KEN 47-3408,KI,70,374,8,141,0,63
KEN 47-0753,KI,124,622,18,249,0,107
KEN 47-3402,KI,163,669,18,322,0,141
KEN 33-0583,KI,85,371,11,203,0,107
KEN 33-0582,KI,146,843,26,359,0,187
KEN 33-0581,KI,81,684,33,311,0,197
KEN 33-0587,KI,93,470,12,209,0,104
KEN 33-0586,KI,108,437,19,256,0,129
KEN 33-0585,KI,113,569,9,224,0,102
KEN 33-0588,KI,79,317,12,157,0,66
KEN 33-1055,KI,55,424,9,123,0,59
KEN 11-3331,KI,55,456,14,166,0,97
KEN 47-3493,KI,112,554,17,269,0,140
KEN 47-3652,KI,102,463,10,219,0,107
KEN 33-3362,KI,77,365,16,174,0,81
KEN 47-1170,KI,75,412,18,180,0,87
KEN 47-0601,KI,106,733,20,291,0,165
KEN 47-0600,KI,18,131,6,46,0,22
KEN 47-0439,KI,140,585,23,309,0,146
KEN 33-3553,KI,82,557,13,194,0,99
KEN 33-0590,KI,174,755,24,372,0,174
KEN 47-0026,KI,78,357,10,169,0,81
KEN 33-0592,KI,30,208,8,81,0,43
KEN 33-0593,KI,67,231,9,140,0,64
KEN 47-0229,KI,135,695,23,296,0,138
KEN 33-0595,KI,54,488,9,139,0,76
KEN 33-0596,KI,125,550,12,289,0,152
KEN 33-0597,KI,96,688,8,239,0,135
KEN 33-0598,KI,97,473,6,201,0,98
KEN 33-0453,KI,164,815,26,364,0,174
KEN 47-0028,KI,123,533,25,275,0,127
KEN 33-2864,KI,97,463,18,243,0,128
KEN 47-3483,KI,131,606,13,285,0,141
KEN 05-3375,KI,0,0,0,0,0,0
KEN 47-3323,KI,99,459,9,218,0,110
KEN 47-1102,KI,189,759,23,382,0,170
