Row Label,County,Gael Tarleton,Paul Addis,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-1812,KI,178,44,469,29,251,0,0
SEA 36-1813,KI,138,21,330,15,174,0,0
SEA 36-1816,KI,131,26,303,15,172,0,0
SEA 36-1815,KI,210,31,453,32,273,0,0
SEA 36-2509,KI,213,27,403,20,260,0,0
SEA 36-2131,KI,344,59,851,48,453,0,2
SEA 36-1391,KI,206,25,439,31,262,0,0
SEA 36-1390,KI,155,12,290,24,191,0,0
SEA 36-1393,KI,185,8,297,16,209,0,0
SEA 36-1392,KI,222,18,411,15,255,0,0
SEA 36-1395,KI,243,13,444,18,276,0,2
SEA 36-1394,KI,275,30,559,30,336,0,1
SEA 36-1397,KI,199,13,357,21,233,0,0
SEA 36-1396,KI,140,16,282,10,166,0,0
SEA 36-1399,KI,162,12,296,31,205,0,0
SEA 36-1398,KI,202,38,503,25,265,0,0
SEA 36-2133,KI,262,45,698,40,348,0,1
SEA 36-1806,KI,220,29,598,31,281,0,1
SEA 36-1319,KI,228,31,469,24,285,0,2
SEA 36-1318,KI,432,56,999,49,537,0,0
SEA 36-1403,KI,166,37,497,30,234,0,1
SEA 36-1402,KI,164,26,381,15,206,1,0
SEA 36-2171,KI,246,44,491,38,329,0,1
SEA 36-3319,KI,255,60,867,50,365,0,0
SEA 36-1317,KI,275,48,631,46,370,0,1
SEA 36-2119,KI,151,14,277,11,176,0,0
SEA 36-1720,KI,224,38,622,25,287,0,0
SEA 36-1721,KI,174,45,529,27,246,0,0
SEA 36-1722,KI,192,37,536,26,256,0,1
SEA 36-1723,KI,194,28,431,30,252,0,0
SEA 36-1724,KI,136,43,315,28,207,0,0
SEA 36-1725,KI,145,23,372,18,189,0,3
SEA 36-1726,KI,153,31,387,30,214,0,0
SEA 36-1727,KI,170,43,382,25,239,0,1
SEA 36-1729,KI,121,12,231,14,147,0,0
SEA 36-3605,KI,182,46,535,19,249,0,2
SEA 36-3341,KI,241,59,654,23,325,0,2
SEA 36-1386,KI,156,27,315,24,213,0,6
SEA 36-1387,KI,219,41,462,29,289,0,0
SEA 36-1384,KI,192,17,309,16,228,0,3
SEA 36-1385,KI,133,27,243,15,175,0,0
SEA 36-1382,KI,190,24,374,18,233,0,1
SEA 36-2534,KI,241,36,547,37,315,0,1
SEA 36-1388,KI,184,17,337,19,220,0,0
SEA 36-1389,KI,132,20,259,10,163,0,1
SEA 36-2129,KI,258,50,691,18,326,0,0
SEA 36-1308,KI,161,20,298,12,193,0,0
SEA 36-1309,KI,265,30,556,32,328,0,1
SEA 36-1306,KI,212,10,381,18,240,0,0
SEA 36-1307,KI,146,10,276,18,174,0,0
SEA 36-1304,KI,200,19,333,15,234,0,0
SEA 36-1305,KI,177,9,301,19,206,0,1
SEA 36-1303,KI,224,23,411,21,269,0,1
SEA 36-1300,KI,163,25,383,26,214,0,0
SEA 36-1301,KI,183,24,319,11,218,0,0
SEA 36-1715,KI,133,22,355,17,172,0,0
SEA 36-1714,KI,261,34,526,25,321,0,1
SEA 36-1717,KI,109,9,251,16,134,0,0
SEA 36-1716,KI,145,17,357,14,177,0,1
SEA 36-1711,KI,276,52,760,49,379,0,2
SEA 36-1710,KI,115,24,351,17,157,0,1
SEA 36-1713,KI,135,15,362,24,176,0,2
SEA 36-1712,KI,214,35,463,20,269,0,0
SEA 36-2168,KI,266,33,520,35,334,0,0
SEA 36-1719,KI,228,42,510,29,299,0,0
SEA 36-1718,KI,119,24,318,12,155,0,0
SEA 36-3566,KI,200,65,579,42,307,0,0
SEA 36-3679,KI,93,29,314,14,137,0,1
SEA 36-2126,KI,335,51,722,33,419,0,0
SEA 36-3496,KI,249,50,671,27,328,0,2
SEA 36-2529,KI,214,46,456,53,314,0,1
SEA 36-1808,KI,129,18,275,9,156,0,0
SEA 36-1661,KI,140,29,277,24,193,0,0
SEA 36-2163,KI,137,17,289,21,176,0,1
SEA 36-1663,KI,135,44,275,26,205,0,0
SEA 36-1662,KI,181,65,450,44,291,0,1
SEA 36-1665,KI,238,72,515,44,356,0,2
SEA 36-1664,KI,153,39,326,24,218,0,2
SEA 36-1666,KI,263,50,572,46,360,0,1
SEA 36-1702,KI,289,44,606,37,372,0,2
SEA 36-1703,KI,261,43,530,36,340,0,0
SEA 36-1700,KI,155,27,383,25,208,0,1
SEA 36-1701,KI,188,29,331,14,231,0,0
SEA 36-2161,KI,252,25,460,26,304,0,1
SEA 36-1704,KI,186,41,640,23,251,0,1
SEA 36-2170,KI,228,32,450,25,285,0,0
SEA 36-1273,KI,168,16,279,17,201,0,0
SEA 36-2172,KI,167,24,319,23,214,0,0
SEA 36-3318,KI,347,42,680,37,428,0,2
SEA 36-2167,KI,161,28,327,21,211,0,1
SEA 36-3317,KI,294,38,595,50,383,0,1
SEA 36-2166,KI,197,18,336,16,231,0,0
SEA 36-2116,KI,174,15,299,11,202,0,2
SEA 36-1689,KI,229,47,484,37,313,0,0
SEA 36-1688,KI,117,34,273,27,179,0,1
SEA 36-2165,KI,134,14,240,22,170,0,0
SEA 36-2117,KI,183,20,336,20,223,0,0
SEA 36-1683,KI,146,28,305,29,205,0,2
SEA 36-1682,KI,130,36,309,23,190,0,1
SEA 36-2164,KI,193,8,310,14,215,0,0
SEA 36-1687,KI,216,50,644,40,309,0,3
SEA 36-1686,KI,266,61,768,25,352,0,0
SEA 36-1685,KI,164,37,418,19,220,0,0
SEA 36-1684,KI,135,23,338,15,173,0,0
SEA 36-2520,KI,234,29,573,35,298,0,0
SEA 36-1288,KI,217,28,391,20,265,0,0
SEA 36-1287,KI,405,46,733,30,481,0,0
SEA 36-1286,KI,205,29,439,20,254,0,0
SEA 36-2526,KI,231,40,444,29,301,0,1
SEA 36-1676,KI,118,33,261,16,167,0,0
SEA 36-1677,KI,134,49,336,36,219,0,0
SEA 36-3153,KI,146,22,390,19,187,0,0
SEA 36-1675,KI,138,51,309,20,209,0,0
SEA 36-1672,KI,118,19,252,26,164,0,1
SEA 36-1673,KI,393,70,806,66,530,0,1
SEA 36-1670,KI,240,57,492,34,331,0,0
SEA 36-3252,KI,153,42,477,16,211,0,0
SEA 36-1775,KI,239,51,711,36,327,0,1
SEA 36-1774,KI,253,55,494,39,347,0,0
SEA 36-1773,KI,208,51,644,25,285,0,1
SEA 36-1772,KI,198,51,534,33,284,0,2
SEA 36-1771,KI,179,48,487,21,248,0,0
SEA 36-1679,KI,204,33,413,35,272,0,0
SEA 36-2147,KI,288,22,489,28,338,0,0
SEA 36-2146,KI,157,18,338,23,199,0,1
SEA 36-2149,KI,211,23,367,25,261,0,2
SEA 36-2148,KI,187,18,359,24,229,0,0
SEA 36-1698,KI,124,24,278,19,167,0,0
SEA 36-1699,KI,117,28,295,15,160,0,0
SEA 36-2528,KI,281,69,576,49,400,0,1
SEA 36-1690,KI,116,32,342,27,178,0,3
SEA 36-1691,KI,118,16,274,21,156,0,1
SEA 36-1692,KI,182,47,363,26,256,0,1
SEA 36-1693,KI,136,35,308,18,189,0,0
SEA 36-1695,KI,224,47,475,49,320,0,0
SEA 36-1696,KI,186,61,433,38,286,0,1
SEA 36-1697,KI,138,24,312,24,186,0,0
SEA 36-1298,KI,213,20,337,12,246,0,1
SEA 36-1299,KI,212,27,425,20,260,0,1
SEA 36-2795,KI,160,28,479,21,209,0,0
SEA 36-1294,KI,363,40,735,44,449,0,2
SEA 36-1295,KI,183,18,337,17,219,0,1
SEA 36-1296,KI,165,10,303,19,194,0,0
SEA 36-1297,KI,153,15,298,15,183,0,0
SEA 36-1292,KI,185,13,356,22,220,0,0
SEA 36-2523,KI,245,45,496,43,333,0,0
SEA 36-2522,KI,165,37,356,28,230,0,0
SEA 36-2511,KI,230,47,430,34,311,0,0
SEA 36-1768,KI,153,27,331,20,201,0,1
SEA 36-1769,KI,114,22,234,15,151,0,0
SEA 36-2524,KI,121,8,216,23,152,0,0
SEA 36-1764,KI,156,14,264,15,185,0,0
SEA 36-1765,KI,141,19,274,18,178,0,0
SEA 36-1766,KI,182,14,401,20,216,0,0
SEA 36-1767,KI,178,37,551,26,242,0,1
SEA 36-1760,KI,154,22,300,19,195,0,0
SEA 36-1761,KI,147,18,309,28,193,0,0
SEA 36-1762,KI,156,30,306,21,207,0,0
SEA 36-1763,KI,167,12,312,17,196,0,0
SEA 36-2162,KI,214,24,373,21,259,0,0
SEA 36-3267,KI,156,48,548,15,219,0,0
SEA 36-2502,KI,240,21,378,23,284,0,0
SEA 36-2508,KI,233,34,427,26,293,0,0
SEA 36-2533,KI,208,32,431,27,267,0,0
SEA 36-1751,KI,186,13,368,13,212,0,0
SEA 36-1750,KI,240,28,493,28,296,0,0
SEA 36-2532,KI,200,37,416,34,273,0,2
SEA 36-1752,KI,191,25,437,28,244,0,0
SEA 36-1755,KI,129,12,272,17,158,0,0
SEA 36-1754,KI,185,30,387,37,252,0,0
SEA 36-1757,KI,134,15,262,17,166,0,0
SEA 36-1756,KI,310,59,682,23,393,0,1
SEA 36-1759,KI,134,16,274,19,169,0,0
SEA 36-1758,KI,192,26,351,28,246,0,0
