Row Label,County,Judy Maves-Klatt,Rose Ann Carroll
601 Queets,JE,15,11
704 Port Townsend,JE,139,75
101 Gardiner,JE,74,75
501 Port Ludlow I,JE,241,267
200 Coyle,JE,78,115
708 Port Townsend,JE,339,253
302 Center I,JE,109,116
702 Port Townsend,JE,168,95
306 Irondale II,JE,154,258
300 Chimacum I,JE,113,182
102 Port Discovery,JE,77,95
105 Discovery Bay,JE,221,207
305 Irondale I,JE,121,184
710 Port Townsend,JE,190,156
500 Port Ludlow,JE,188,249
106 North Jacob,JE,182,152
503 Port Ludlow III,JE,150,145
301 Chimacum II,JE,54,127
706 Port Townsend,JE,385,251
401 Nordland,JE,226,227
502 Port Ludlow II,JE,134,196
505 Port Ludlow V,JE,141,209
709 Port Townsend,JE,326,190
303 Hadlock,JE,160,246
304 Kala Point,JE,279,223
107 South Jacob,JE,181,246
201 Quilcene,JE,144,288
308 Center II,JE,62,99
705 Port Townsend,JE,134,136
204 Brinnon,JE,188,287
707 Port Townsend,JE,310,249
104 Cape George,JE,242,200
103 Crocker,JE,60,88
600 Hoh,JE,12,18
703 Port Townsend,JE,196,98
700 Port Townsend,JE,231,187
504 Port Ludlow IV,JE,108,96
Total,JE,6376,6525
701 Port Townsend,JE,128,77
307 Four Corners,JE,116,152
