Row Label,County,Brett Nagle,Jeffrey D. Goodwin
MISTY,SN,115,152
EDMONDS 15,SN,84,119
EDMONDS 40,SN,89,161
EDMONDS 34,SN,126,153
EDMONDS 51,SN,95,156
ROYAL,SN,139,180
MEADOWCREST,SN,101,139
LYNNWOOD 33,SN,110,133
LUNDS GULCH,SN,37,50
MANORDALE,SN,79,129
PUGET PARK,SN,89,121
SPRUCE,SN,70,68
EDMONDS 30,SN,79,132
DUMAS,SN,100,120
DOUGLAS FIRS,SN,100,101
RUGGS LAKE,SN,129,140
EDMONDS  2,SN,108,173
EDMONDS  3,SN,126,177
EDMONDS  1,SN,95,178
EDMONDS  6,SN,148,200
EDMONDS  7,SN,108,227
PARKSHORE,SN,72,117
WAXON,SN,136,190
MAGNOLIA,SN,92,102
EDMONDS  4,SN,88,161
NILE,SN,0,0
RHODY RIDGE,SN,78,90
SUMMIT,SN,99,130
KEELER,SN,84,106
EAST SHORE,SN,101,138
GLENBAR,SN,102,77
STAFFORD,SN,62,91
CASCADE,SN,69,99
CRYSTAL CREEK,SN,56,81
MARTHA LAKE,SN,100,139
SILVER FIRS,SN,151,167
FILBERT,SN,126,155
EDMONDS 16,SN,73,119
COVE,SN,97,122
CRYSTAL,SN,85,143
MILL CREEK 18,SN,108,114
MILL CREEK 19,SN,168,170
GRANNIS,SN,97,133
MILL CREEK 14,SN,3,5
MILL CREEK 15,SN,123,136
MILL CREEK 16,SN,79,82
MILL CREEK 17,SN,107,159
MILL CREEK 10,SN,96,94
MILL CREEK 11,SN,98,93
MILL CREEK 12,SN,120,107
MILL CREEK 13,SN,97,118
CASCADIAN,SN,105,184
WINDROSE,SN,167,168
ALDER,SN,105,111
HIPOINT,SN,72,89
MILL CREEK  3,SN,73,92
MILL CREEK  2,SN,94,120
MILL CREEK  1,SN,142,174
EDMONDS 35,SN,65,148
MILL CREEK  7,SN,8,8
MILL CREEK  6,SN,152,175
MILL CREEK  5,SN,167,181
MILL CREEK  4,SN,83,111
HEARTHSTONE,SN,95,93
MILL CREEK  9,SN,111,135
MILL CREEK  8,SN,147,166
LYNNWOOD 32(*),SN,0,0
HEMLOCK,SN,140,183
COUNTRY,SN,68,95
EDMONDS 43,SN,115,177
FREEWAY,SN,105,140
PIONEER,SN,97,135
ELWOOD,SN,93,154
WOODGATE,SN,64,74
HOLLY,SN,101,148
EDMONDS 18,SN,82,160
EDMONDS 41,SN,71,122
EDMONDS  8,SN,146,216
LAURA,SN,111,171
HOLIDAY,SN,65,63
WOODWAY 1,SN,86,171
LYNNWOOD 25,SN,123,156
WOODWAY 2,SN,58,98
SAMOEA,SN,119,140
ROB,SN,72,108
EDMONDS 19,SN,124,160
EDMONDS 11,SN,107,186
EDMONDS 10,SN,123,191
EDMONDS 13,SN,107,195
EDMONDS 12,SN,57,102
MOUNTLAKE TERRACE  8,SN,92,124
HILL,SN,81,112
EDMONDS 17,SN,83,140
OLDMARK,SN,122,213
MOUNTLAKE TERRACE  4,SN,74,94
MOUNTLAKE TERRACE  5,SN,85,138
MOUNTLAKE TERRACE  6,SN,68,104
MOUNTLAKE TERRACE  7,SN,54,78
MOUNTLAKE TERRACE  1,SN,83,132
MOUNTLAKE TERRACE  2,SN,78,128
MOUNTLAKE TERRACE  3,SN,90,114
LYNNWOOD 23,SN,98,127
LYNNWOOD 22,SN,54,107
LYNNWOOD 21,SN,106,140
LYNNWOOD 20,SN,88,131
LYNNWOOD 26,SN,85,158
SHORE,SN,126,144
LYNNWOOD 24,SN,78,110
STICKNEY,SN,94,148
LYNNWOOD 29,SN,138,186
EMERALD,SN,92,148
GRAND FIRS,SN,137,174
AVALON,SN,56,63
EDMONDS 31,SN,98,175
POST,SN,105,133
EDMONDS  5,SN,69,113
KENTISH,SN,83,97
HUNT(*),SN,0,0
MOUNTLAKE TERRACE  9,SN,63,92
WILLOWDALE(*),SN,0,0
MANOR,SN,84,144
PUGET,SN,63,142
ELFIN,SN,59,81
KENNARD,SN,87,111
CYPRESS,SN,99,145
SHELBY,SN,81,113
WOODLAND,SN,55,78
EDMONDS 14,SN,86,102
LYNNWOOD 11,SN,101,132
EDMONDS 24,SN,78,117
EDMONDS 33,SN,82,142
NORTH CREEK,SN,106,107
EDMONDS 27,SN,84,124
EDMONDS 21,SN,140,203
EDMONDS 22,SN,93,151
EDMONDS 23,SN,106,228
NORTHROAD,SN,145,170
CRAWFORD,SN,36,36
FAIRWOOD,SN,51,60
LYNNWOOD 30,SN,119,145
LYNNWOOD 31,SN,63,82
SILVER CREEK,SN,77,97
LYNNWOOD 34,SN,63,62
EDMONDS 37,SN,72,178
NEWTON,SN,71,109
EDMONDS 25,SN,90,154
EDMONDS 36,SN,100,140
JEFFERSON,SN,69,106
FERNWOOD,SN,94,115
PACIFIC,SN,30,34
LYNNWOOD 28,SN,66,80
THRASHERS,SN,94,116
BEVERLY,SN,98,137
HILLTOP,SN,134,173
KNOX,SN,3,11
MARINER,SN,91,107
CHAPEL,SN,74,107
EDMONDS 39,SN,125,219
EDMONDS 38,SN,94,200
MAPLEWOOD,SN,92,126
MOUNTLAKE TERRACE 19,SN,89,142
MOUNTLAKE TERRACE 18,SN,104,134
MOUNTLAKE TERRACE 17,SN,127,186
MOUNTLAKE TERRACE 16,SN,75,90
MOUNTLAKE TERRACE 15,SN,84,109
MOUNTLAKE TERRACE 14,SN,93,161
MOUNTLAKE TERRACE 13,SN,104,154
MOUNTLAKE TERRACE 12,SN,90,131
MOUNTLAKE TERRACE 11,SN,89,128
MOUNTLAKE TERRACE 10,SN,123,193
EDMONDS  9,SN,71,120
ASH,SN,143,173
TERRACE,SN,19,31
SHADOW WOOD,SN,114,124
KATTENHORN,SN,151,185
EDMONDS 29,SN,114,174
VINE,SN,80,140
PIONEER TRAILS,SN,108,114
PICNIC POINT,SN,78,126
FIELD,SN,88,147
YORK,SN,110,157
EDMONDS 26,SN,56,138
EVERGREEN,SN,66,92
STONE GATE,SN,77,104
EDMONDS 48,SN,117,127
LARCH,SN,100,122
EDMONDS 46,SN,162,284
EDMONDS 47,SN,50,87
EDMONDS 44,SN,81,157
EDMONDS 45,SN,79,145
LOCUST,SN,90,153
KENWOOD,SN,92,129
OLYMPUS,SN,93,104
WALNUT,SN,76,104
SUNSET,SN,148,166
PINEWOOD,SN,107,127
DOGWOOD,SN,77,106
EDMONDS 50,SN,90,92
SOUTH ALDERWOOD,SN,134,182
WINGATE,SN,96,167
ANN,SN,87,115
BUTTERNUT,SN,91,143
DALE,SN,108,134
CLOVER,SN,83,108
SERENE,SN,99,121
REDHAWK,SN,120,175
JEFF,SN,74,109
ALICIA,SN,106,162
LYNNWOOD  5,SN,57,81
LYNNWOOD  4,SN,74,121
LYNNWOOD  7,SN,126,150
LYNNWOOD  6,SN,89,121
LYNNWOOD  1,SN,40,73
POPPY,SN,60,92
LYNNWOOD  2,SN,69,116
ATLAS,SN,108,189
SEATTLE HILL,SN,110,97
ALDERCREST,SN,23,25
LYNNWOOD  9,SN,106,173
LYNNWOOD  8,SN,58,118
ADMIRALTY,SN,80,93
QUEENS,SN,102,130
BRIER 8,SN,75,114
MILL CREEK 21,SN,64,55
MILL CREEK 20,SN,108,95
MILL CREEK 22,SN,73,88
BRIER 3,SN,151,214
BRIER 2,SN,73,114
BRIER 1,SN,105,146
BRIER 7,SN,94,115
BRIER 6,SN,69,107
BRIER 5,SN,132,178
BRIER 4,SN,108,169
GROVE,SN,116,160
WANDERING CREEK,SN,108,171
POPLAR,SN,53,76
FOREST,SN,130,121
EDMONDS 49,SN,101,125
OAKS,SN,149,137
EMANDER,SN,117,135
GIBSON,SN,83,83
MERIDIAN,SN,115,152
BERKSHIRE,SN,140,201
EDMONDS 42,SN,83,109
BROOK,SN,115,165
DAMSON,SN,123,179
SILVER LAKE,SN,93,128
HILLMAN,SN,65,142
TAMBARK,SN,91,127
EDMONDS 32,SN,97,146
MADISON,SN,140,179
LYNNWOOD  3,SN,98,117
EDMONDS 52,SN,88,132
MEADOWDALE,SN,71,146
EDMONDS 28,SN,108,155
RIDGEVIEW,SN,44,70
LYNNWOOD 17,SN,129,168
STRAWBERRY,SN,124,135
LYNNWOOD 18,SN,103,134
LYNNWOOD 19,SN,94,148
LYNNWOOD 12,SN,91,151
LYNNWOOD 13,SN,85,96
LYNNWOOD 10,SN,40,87
Total,SN,24742,34507
LYNNWOOD 16,SN,92,121
NORMA,SN,75,128
LYNNWOOD 14,SN,75,119
LYNNWOOD 15,SN,77,112
