Row Label,County,Repealed,Maintained
VAN FLEET,SK,184,157
GEAR,SK,226,200
BIRDSVIEW,SK,252,167
BURLINGTON 7,SK,117,102
BOW,SK,242,282
ROCKPORT,SK,189,146
ROSARIO,SK,280,314
MOUNT VERNON 16,SK,236,301
EDISON,SK,125,129
MOUNT VERNON 14,SK,251,236
MOUNT VERNON 12,SK,101,78
RIDGEWAY,SK,133,138
MOUNT VERNON 10,SK,108,104
SAMISH,SK,154,131
MOUNT VERNON 19,SK,221,232
BAY VIEW,SK,152,196
BURLINGTON 2,SK,106,107
STARBIRD,SK,195,162
BURLINGTON 1,SK,99,91
BURLINGTON 6,SK,116,90
TERRACE,SK,308,307
BURLINGTON 4,SK,154,142
BURLINGTON 5,SK,206,174
MANSFORD,SK,38,30
MAPES,SK,58,82
FIR,SK,75,97
LYMAN,SK,57,45
GAGES,SK,49,44
NOOKACHAMPS,SK,133,95
SAUK,SK,212,180
VEDERE,SK,126,142
HAMILTON,SK,34,24
BLANCHARD(*),SK,0,0
POINT WILLIAMS,SK,143,172
SKYRIDGE,SK,171,197
CONCRETE,SK,99,53
ALDER,SK,144,78
CLEAR LAKE,SK,231,171
FRUITDALE,SK,115,74
SWINOMISH,SK,199,223
SEDRO WOOLLEY  6,SK,202,166
MINKLER,SK,167,108
ANACORTES 20,SK,319,342
TINGLEY,SK,133,91
ANACORTES 22,SK,273,310
ANACORTES 24,SK,441,489
BIG LAKE,SK,248,277
ANACORTES 5,SK,5,6
COLLINS,SK,115,129
AVON,SK,167,180
MARCH POINT,SK,19,9
MOUNT VERNON 30,SK,250,201
FIDALGO,SK,236,288
MOUNT VERNON  4,SK,302,237
MOUNT VERNON  5,SK,57,49
MOUNT VERNON  6,SK,131,170
MOUNT VERNON  7,SK,158,251
WHITNEY,SK,67,85
MOUNT VERNON  2,SK,95,80
MOUNT VERNON  3,SK,163,187
LAKE SIXTEEN,SK,86,107
MOUNT VERNON  8,SK,357,302
MOUNT VERNON  9,SK,84,114
DEWEY,SK,309,391
BELFAST,SK,113,106
MOUNT VERNON 15,SK,128,119
MCMURRAY EAST,SK,43,50
LAKE CAVANAUGH,SK,69,59
SHELTER BAY,SK,222,249
MOUNT VERNON 27,SK,69,53
MOUNT VERNON 22,SK,299,410
MOUNT VERNON 21,SK,349,281
LOOKOUT,SK,246,228
MOUNT VERNON 11,SK,167,193
ANACORTES  9,SK,197,237
COUNTRY CLUB,SK,89,79
ANACORTES 21,SK,346,502
MOUNT VERNON  1,SK,80,75
SEDRO WOOLLEY  2,SK,229,192
SEDRO WOOLLEY  3,SK,151,134
SEDRO WOOLLEY  1,SK,207,185
MCMURRAY WEST,SK,109,81
SEDRO WOOLLEY  7,SK,3,3
SEDRO WOOLLEY  4,SK,205,181
SEDRO WOOLLEY  5,SK,293,234
ANACORTES  1,SK,162,184
MCRAE,SK,319,281
ANACORTES  6,SK,165,217
ANACORTES  7,SK,337,423
ANACORTES  4,SK,125,140
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,127,210
MONTBORNE,SK,245,272
STERLING,SK,69,48
FREDONIA,SK,36,38
CASCADE,SK,47,33
DIGBY,SK,21,15
HARMONY,SK,113,140
PADILLA,SK,48,53
DUNBAR,SK,46,36
LA CONNER,SK,169,199
CEDARDALE,SK,82,52
BURLINGTON 3,SK,44,46
PRAIRIE,SK,221,186
RIVERBEND,SK,12,6
HAMBURG,SK,66,103
ANACORTES 11,SK,269,272
ALLEN,SK,91,94
ANACORTES 17,SK,311,391
CONWAY,SK,82,89
LITTLE MOUNTAIN,SK,86,111
GUEMES,SK,128,222
ALGER,SK,149,120
DODGE VALLEY,SK,79,89
Total,SK,17872,18230
