Row Label,County,Greg Zempel
DAMMAN,KS,272
VANTAGE,KS,22
PARK,KS,287
TEANAWAY,KS,243
ELLENSBURG 20,KS,57
CLE ELUM 4,KS,203
ELLENSBURG 22,KS,135
ELLENSBURG 23,KS,161
CLE ELUM 1,KS,136
ELLENSBURG 25,KS,274
CLE ELUM 3,KS,39
CLE ELUM 2,KS,89
SOUTH CLE ELUM,KS,141
FAIRVIEW,KS,167
RONALD,KS,104
NORTHEAST FAIRVIEW,KS,262
ELLENSBURG 24,KS,299
ELLENSBURG 9,KS,72
ELLENSBURG 8,KS,60
RIDGEWAY,KS,402
ELLENSBURG 1,KS,32
ELLENSBURG 2,KS,49
ELLENSBURG 5,KS,56
ELLENSBURG 4,KS,32
ELLENSBURG 7,KS,42
ELLENSBURG 6,KS,38
EAST SANDERS,KS,263
THRALL,KS,227
ELLENSBURG 21,KS,90
MOUNTAIN,KS,92
HYAK,KS,67
ROSLYN 1,KS,105
ROSLYN 2,KS,81
KITTITAS 1,KS,116
KACHESS,KS,73
MANASTASH,KS,201
DENMARK,KS,366
ROSLYN OUTLYING,KS,44
SOUTH ELLENSBURG,KS,331
DRY CREEK,KS,283
NORTH CENTRAL,KS,208
ELLENSBURG 11,KS,89
ELLENSBURG 10,KS,93
ELLENSBURG 13,KS,73
ELLENSBURG 12,KS,81
ELLENSBURG 15,KS,133
ELLENSBURG 14,KS,107
ELLENSBURG 17,KS,151
ELLENSBURG 16,KS,179
ELLENSBURG 19,KS,225
ELLENSBURG 18,KS,28
WESTSIDE,KS,302
EASTON,KS,262
PEOH POINT,KS,240
SANDERS,KS,110
KITTITAS 2,KS,128
NORTH ELLENSBURG,KS,327
THORP,KS,237
SWAUK,KS,144
Total,KS,9130
