Row Label,County,Dan Bigelow,Heidi Heywood 
02 - GRAYS RIVER,WK,65,42
07 - COLUMBIA,WK,89,127
10 - SOUTH CATHLAMET,WK,84,52
03 - ROSBURG / ALTOONA,WK,61,74
11 - NORTH CATHLAMET,WK,37,24
05 - ELOCHOMAN,WK,132,117
04 - SKAMOKAWA,WK,71,75
09 - WEST PUGET ISLAND,WK,128,128
08 - EAST PUGET ISLAND,WK,86,60
06 - ROSEDALE,WK,62,82
Total,WK,865,836
01 - DEEP RIVER,WK,50,55
