Row Label,County,David Grant
216,WM,272
217,WM,243
214,WM,222
215,WM,267
212,WM,159
213,WM,337
210,WM,288
211,WM,306
106    ,WM,285
260    ,WM,226
218,WM,246
219,WM,266
133,WM,190
132,WM,223
131,WM,369
130,WM,185
137,WM,180
135,WM,274
139,WM,145
138,WM,254
179    ,WM,87
182    ,WM,346
604    ,WM,293
162    ,WM,217
606    ,WM,333
175    ,WM,264
249    ,WM,311
610    ,WM,398
401,WM,190
248    ,WM,192
220,WM,239
124    ,WM,176
145    ,WM,409
173    ,WM,251
265    ,WM,254
120,WM,273
121,WM,193
122,WM,217
123,WM,198
125,WM,275
127,WM,399
129,WM,316
268,WM,16
166    ,WM,303
201    ,WM,484
304    ,WM,126
172    ,WM,196
111    ,WM,296
607    ,WM,298
160    ,WM,279
701,WM,299
115,WM,286
114,WM,167
117,WM,238
116,WM,167
110,WM,279
113,WM,286
112,WM,142
205,WM,216
118,WM,342
163    ,WM,242
261    ,WM,251
209,WM,287
509    ,WM,246
161    ,WM,174
251    ,WM,268
156    ,WM,138
252    ,WM,50
301,WM,408
302,WM,409
303,WM,367
611    ,WM,211
245,WM,170
244,WM,287
108,WM,383
246,WM,190
241,WM,222
240,WM,317
243,WM,275
242,WM,188
102,WM,224
103,WM,272
101,WM,272
107,WM,379
104,WM,208
105,WM,158
247,WM,165
253    ,WM,218
169    ,WM,405
605,WM,206
141    ,WM,370
140    ,WM,421
250    ,WM,384
259    ,WM,175
601,WM,445
507    ,WM,277
174    ,WM,233
255    ,WM,168
180    ,WM,253
254    ,WM,224
603,WM,310
181    ,WM,365
609    ,WM,413
504,WM,161
505,WM,364
502,WM,271
503,WM,365
501,WM,287
168    ,WM,341
257    ,WM,145
263    ,WM,217
177    ,WM,194
178    ,WM,297
183    ,WM,14
229,WM,263
228,WM,192
227,WM,294
226,WM,136
225,WM,268
224,WM,82
223,WM,150
222,WM,356
221,WM,312
167    ,WM,46
126    ,WM,365
258    ,WM,224
256    ,WM,273
608    ,WM,288
158    ,WM,144
264    ,WM,276
262    ,WM,217
159    ,WM,90
176    ,WM,214
151,WM,347
150,WM,327
153,WM,278
152,WM,295
155,WM,195
157,WM,134
602,WM,371
164    ,WM,85
508    ,WM,342
238,WM,226
239,WM,341
144    ,WM,353
234,WM,318
235,WM,160
236,WM,123
237,WM,158
230,WM,167
231,WM,265
232,WM,286
233,WM,266
154    ,WM,208
146    ,WM,381
136    ,WM,280
165    ,WM,150
147,WM,294
203,WM,349
202,WM,220
142,WM,256
204,WM,146
207,WM,183
206,WM,289
119    ,WM,177
208,WM,412
148,WM,302
149,WM,246
170    ,WM,209
143    ,WM,179
402    ,WM,250
171    ,WM,313
506    ,WM,302
267    ,WM,31
266    ,WM,310
134    ,WM,395
801,WM,231
Total,WM,44812
