Row Label,County,Benjamin C. Nichols
CLARKSTON #2,AS,184
SWALLOWS NEST,AS,357
WEST CLARKSTON #1,AS,236
WEST CLARKSTON #2,AS,220
WEST CLARKSTON #3,AS,277
ASOTIN #1,AS,179
ASOTIN #2,AS,186
SOUTH CLARKSTON #1,AS,209
SOUTH CLARKSTON #2,AS,276
W ASOTIN,AS,146
CLARKSTON #6,AS,196
CLARKSTON #7,AS,132
RURAL ASOTIN,AS,133
CLARKSTON #4,AS,200
Total,AS,5927
ANATONE,AS,113
CLARKSTON #3,AS,182
CLARKSTON HTS #4,AS,257
CLARKSTON #8,AS,186
CLARKSTON HTS #3,AS,105
CLARKSTON HTS #2,AS,457
CLARKSTON HTS #1,AS,256
CLARKSTON #5,AS,123
CLARKSTON HTS #7,AS,304
CLARKSTON HTS #6,AS,412
CLARKSTON HTS #5,AS,455
CLARKSTON #1,AS,146
