Row Label,County,Cary Condotta
Electric City 007,GR,247
Coulee Cty Rur N 072,GR,64
Ephrata Rural ,GR,206
Hartline 019,GR,47
Soap Lake Rur W ,GR,257
Soap Lake 1 047,GR,145
Grand Coulee 018,GR,207
Coulee City 005,GR,163
North Banks Lake 037,GR,53
Hartline Rural N 073,GR,27
Total,GR,1710
Quincy Rural N 042,GR,171
Soap Lake 2 052,GR,123
