Row Label,County,Clint Didier,Dan Newhouse
0134,YA,264,502
4303,YA,47,101
0130,YA,85,157
0131,YA,119,175
0132,YA,92,210
0133,YA,215,359
0138,YA,165,418
0139,YA,171,347
4005,YA,108,150
1301,YA,96,119
5101,YA,67,120
0140,YA,93,143
0142,YA,160,311
0308,YA,0,0
0307,YA,6,15
0306,YA,94,264
0305,YA,6,8
0304,YA,52,70
0303,YA,77,154
0302,YA,73,160
0301,YA,18,61
0127,YA,128,156
0126,YA,42,88
0124,YA,14,76
0120,YA,68,125
2701,YA,274,428
0129,YA,72,105
3401,YA,42,75
1701,YA,65,167
1702,YA,3,30
1703,YA,65,186
1704,YA,0,0
1705,YA,104,315
1706,YA,77,216
1708,YA,84,156
4401,YA,90,131
4402,YA,113,126
5010,YA,40,83
0113,YA,63,108
0110,YA,81,132
0111,YA,77,161
0116,YA,123,304
5016,YA,77,88
0118,YA,47,108
4106,YA,175,159
3308,YA,192,203
3309,YA,86,143
3306,YA,84,105
3304,YA,210,207
3305,YA,177,186
3303,YA,71,104
3301,YA,133,167
4801,YA,347,282
4802,YA,250,375
2301,YA,90,161
2303,YA,88,158
2306,YA,137,219
5003,YA,168,198
5001,YA,32,67
0104,YA,67,133
0101,YA,51,107
0103,YA,55,95
4114,YA,74,60
4115,YA,111,122
0901,YA,48,90
4625,YA,9,3
4626,YA,6,10
4111,YA,210,257
3311,YA,314,407
3310,YA,98,175
3313,YA,75,78
3504,YA,12,2
4623,YA,28,17
4624,YA,102,112
4112,YA,246,317
0190,YA,109,149
5014,YA,174,203
0179,YA,171,293
0170,YA,126,211
0173,YA,115,179
0175,YA,86,126
0177,YA,219,291
4101,YA,71,99
3004,YA,9,8
4102,YA,183,201
4105,YA,93,94
4104,YA,128,158
3002,YA,38,60
4109,YA,158,366
4108,YA,123,168
1901,YA,46,86
0185,YA,202,284
0184,YA,124,210
0187,YA,180,246
0186,YA,192,360
0181,YA,233,292
0180,YA,115,158
0183,YA,147,274
0182,YA,273,418
0501,YA,71,169
0189,YA,121,207
0188,YA,234,321
1502,YA,204,232
1503,YA,189,236
1501,YA,120,147
1504,YA,189,268
3602,YA,285,360
0169,YA,171,393
0168,YA,166,361
0001,YA,0,0
3605,YA,364,349
0163,YA,181,322
0162,YA,87,152
0167,YA,184,365
4627,YA,51,70
4608,YA,55,78
4609,YA,94,95
4606,YA,153,228
4604,YA,82,102
4605,YA,2,2
4602,YA,68,111
4603,YA,236,242
4601,YA,77,127
3206,YA,211,279
3205,YA,282,262
3204,YA,27,27
3203,YA,239,263
4628,YA,39,77
3208,YA,28,40
1103,YA,118,170
1101,YA,137,151
2103,YA,93,190
2101,YA,135,245
3904,YA,73,66
3905,YA,53,64
3901,YA,280,190
3902,YA,52,106
3903,YA,326,414
3601,YA,14,22
4618,YA,92,173
4615,YA,94,220
4616,YA,52,106
3104,YA,124,188
3105,YA,18,29
3106,YA,143,213
4003,YA,225,309
3101,YA,213,384
3102,YA,130,177
3103,YA,65,132
5012,YA,129,150
5020,YA,130,126
2501,YA,84,188
4504,YA,109,185
5202,YA,0,0
4501,YA,46,62
4503,YA,22,20
3701,YA,99,164
0156,YA,90,113
0154,YA,160,222
0155,YA,156,255
0153,YA,135,223
0150,YA,65,133
4001,YA,35,81
0701,YA,35,50
Total,YA,18886,28458
4002,YA,53,80
0158,YA,73,111
