Row Label,County,Russ Hauge,Tina Robinson
LEMOLO 435,KP,216,204
ANNAPOLIS 212,KP,305,341
MEADOWDALE 150,KP,148,219
BELLA VISTA 413,KP,193,218
LIGHTHOUSE POINT 292,KP,246,288
CLEAR CREEK 120,KP,201,241
AUGUSTA 461,KP,186,105
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,158,190
TORVANGER 345,KP,415,210
BREMERTON 012,KP,64,38
BREMERTON 013,KP,216,162
BREMERTON 015,KP,220,227
BREMERTON 016,KP,62,41
WINSLOW 304,KP,608,221
HIGHLAND 423,KP,147,157
LAKE HELENA 214,KP,165,274
DICKENSON 282,KP,191,293
UNIVERSITY POINT 142,KP,156,174
SANDY HOOK 464,KP,204,155
BARKER CREEK 147,KP,240,327
BAYVIEW 087,KP,62,70
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,320,143
EVERGREEN RIDGE 426,KP,83,112
REGAL 131,KP,59,68
COUNTRY CLUB 113,KP,122,157
POULSBO 405,KP,291,220
POULSBO 404,KP,292,258
POULSBO 407,KP,228,184
POULSBO 406,KP,327,298
SEDGWICK 272,KP,253,286
BERRY LAKE 279,KP,141,179
POULSBO 403,KP,230,220
EBBERT 247,KP,219,309
ILLAHEE 065,KP,254,290
COTTONWOOD 125,KP,193,227
MARION 090,KP,46,41
OLYMPIC 099,KP,34,24
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,188,216
STRIEBEL 453,KP,265,252
AZALEA 302,KP,423,162
YUKON 241,KP,160,225
FOREST RIDGE 126,KP,133,160
FAIRVIEW 135,KP,114,178
ANDERSON CREEK 163,KP,174,251
PORT GAMBLE 450,KP,267,224
RAINIER 067,KP,243,277
BRASCH 213,KP,191,317
GAMBLEWOOD 454,KP,147,196
CENTRAL VALLEY 128,KP,236,291
HOLLY 158,KP,57,78
BURLEY 218,KP,235,295
LUOTO 122,KP,82,191
POINT JEFFERSON 419,KP,230,180
BREMERTON 296,KP,0,0
MORKEN 161,KP,269,382
INDIANOLA 420,KP,435,206
TWIN LAKES 285,KP,45,97
BELFAIR VALLEY 280,KP,66,107
KARIOTIS 143,KP,217,258
TRACYTON 170,KP,154,190
ROCKY POINT 083,KP,293,307
