Row Label,County,Ronald S. Marshall
Memorial,CZ,206
Windemere,CZ,430
Modrow,CZ,255
Ostrander,CZ,316
Baltimore,CZ,313
Magnolia,CZ,468
Hudson,CZ,355
Lake,CZ,267
Douglas,CZ,232
Kessler,CZ,379
St. Helens,CZ,156
Woodage,CZ,211
Arkansas,CZ,125
Olson,CZ,201
Woodland South,CZ,318
Tunstall,CZ,104
Brynion,CZ,216
Marigold,CZ,422
Crawford,CZ,297
Chinook,CZ,328
Ridgecrest,CZ,20
Cloverdale,CZ,234
Elk Ridge,CZ,3
Woodland North,CZ,376
West Kelso,CZ,96
Ponderosa,CZ,262
Owl Creek,CZ,377
Willow Grove,CZ,92
Robbins,CZ,423
Powell,CZ,275
Ocean Beach,CZ,292
Sparks,CZ,186
Beacon,CZ,402
Harris,CZ,262
Delameter,CZ,263
Ryderwood,CZ,136
Redpath,CZ,242
Nevada,CZ,274
Sandy Bend,CZ,281
Mint Valley,CZ,487
Burcham,CZ,523
Columbia Valley Gdns,CZ,216
Lexington,CZ,293
Rose Valley,CZ,196
Mt. Solo,CZ,93
Haussler,CZ,201
Silver Lake,CZ,481
Ammons,CZ,211
Kalama North,CZ,242
Yale,CZ,211
Bakers,CZ,12
Sacajawea,CZ,576
Alabama,CZ,215
Kalama South,CZ,317
Mill,CZ,390
Caples,CZ,100
Lone Oak,CZ,169
Lewis River,CZ,349
Industrial,CZ,0
Castle Rock,CZ,397
Stella,CZ,267
Toutle,CZ,374
Tower,CZ,439
Columbia Heights,CZ,184
Pacific,CZ,352
McGowan,CZ,64
Hillcrest,CZ,514
Boondox,CZ,10
View,CZ,208
Coal Creek,CZ,378
Laurel,CZ,360
Carrolls,CZ,294
Total,CZ,19218
