Row Label,County,Drew Stokesbary,Mike Sando
31-823,PI,182,121
31-822,PI,194,139
31-926,PI,7,7
31-827,PI,89,33
31-826,PI,255,203
31-825,PI,220,186
31-829,PI,213,153
31-828,PI,196,204
31-900,PI,191,107
31-901,PI,32,16
31-902,PI,356,236
31-904,PI,46,32
31-905,PI,252,136
31-906,PI,138,86
31-907,PI,223,118
31-908,PI,180,104
31-909,PI,182,127
31-824(*),PI,0,0
31-856,PI,223,135
31-857,PI,133,94
31-854,PI,109,90
31-855,PI,144,130
31-853,PI,46,36
31-919,PI,210,161
31-917,PI,392,161
31-916,PI,229,131
31-915,PI,54,20
31-914,PI,187,100
31-913,PI,127,53
31-912,PI,164,112
31-911,PI,142,83
31-910,PI,212,130
31-845,PI,207,146
31-844,PI,192,90
31-847,PI,109,90
31-846,PI,103,56
31-841,PI,135,91
31-840,PI,131,60
31-843,PI,190,101
31-842,PI,259,118
31-849,PI,83,62
31-848,PI,55,20
31-833,PI,263,158
31-873,PI,60,23
31-874,PI,0,0
31-875,PI,361,177
31-876,PI,16,10
31-877,PI,149,64
31-879,PI,75,30
31-869,PI,134,74
31-865,PI,74,46
31-861,PI,69,44
31-818,PI,68,48
31-819,PI,121,69
31-813,PI,128,94
31-810,PI,149,124
31-816,PI,235,154
31-817,PI,279,194
31-814,PI,31,28
31-815,PI,190,133
31-896(*),PI,0,0
31-927,PI,263,110
31-809,PI,267,167
31-808,PI,238,172
31-924,PI,180,83
31-925,PI,59,61
31-923,PI,188,117
31-920,PI,155,133
31-921,PI,218,131
31-801,PI,166,113
31-803,PI,250,172
31-802,PI,289,138
31-805,PI,245,186
31-804,PI,269,174
31-807,PI,2,2
31-806,PI,304,235
31-903(*),PI,0,0
31-892,PI,178,122
31-890,PI,149,94
31-891,PI,80,69
31-897,PI,134,82
31-894,PI,38,26
31-895,PI,255,95
31-898,PI,301,174
31-899,PI,155,84
31-834,PI,219,132
31-835,PI,356,251
31-836,PI,292,136
31-837,PI,196,135
31-830,PI,106,73
31-893(*),PI,0,0
31-838,PI,185,118
31-839,PI,24,16
31-881,PI,192,89
31-880,PI,108,55
31-883,PI,394,177
31-882,PI,286,156
31-885,PI,95,73
31-884,PI,384,127
31-887,PI,212,129
31-886,PI,262,153
31-888,PI,213,117
Total,PI,17116,10427
