Row Label,County,Ronald Strabbing
Montesano 601,GY,515
Riviera 050,GY,30
McCleary Rural 060,GY,262
Hoquiam 421,GY,228
Satsop 052,GY,112
Aberdeen 132,GY,0
Lois Lane 082,GY,83
Ocosta 092,GY,0
Cutoff032,GY,71
Johns River 094,GY,216
Melbourne 072,GY,219
Bush 058,GY,371
Aberdeen 121,GY,384
Geissler 036,GY,28
Coats Landing 034,GY,193
Hoquiam 441,GY,311
Grayland 096,GY,215
Hoquiam 461,GY,234
Blockhouse 068,GY,202
Boundary 044,GY,32
Westport 901,GY,383
Humptulips 018,GY,39
Chehalis 066,GY,4
Elma 302,GY,348
Aberdeen 111,GY,420
Cohasset 098,GY,138
Burrows 014,GY,24
Quinault 004,GY,101
Porter 062,GY,133
Delezenne 070,GY,247
Pacific Beach 008,GY,143
Aberdeen 131,GY,525
Elma 301,GY,159
Axford 020,GY,92
Brady 048,GY,320
Hoquiam 431,GY,287
Dekay 022,GY,47
Ocean City 012,GY,187
Moclips 010,GY,18
Montesano 603,GY,0
Cosmopolis 201,GY,408
Cedar Creek 064,GY,56
Ocean Shores 801,GY,413
Ocean Shores 802,GY,567
Ocean Shores 803,GY,480
North Wishkah 028,GY,2
Calder 056,GY,184
Lund 088,GY,51
Taholah 002,GY,164
Aberdeen 142,GY,290
Devonshire 074,GY,197
Reynvaan 040,GY,91
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,409
Wilderness 016,GY,79
Hoquiam 451,GY,216
Sierra 086,GY,1
Blue Slough 084,GY,138
Black Creek 046,GY,337
Hoquiam Rural 024,GY,219
Wishkah 030,GY,187
Stover 026,GY,44
Oakville 701,GY,101
Aberdeen 141,GY,391
Vesta 076,GY,41
Artic 078,GY,39
Wynoochee 042,GY,4
Montesano 602,GY,511
Aberdeen 151,GY,241
Central Park 080,GY,440
Newskah 090,GY,15
McCleary 501,GY,286
Neilton 006,GY,52
Total,GY,14253
Hoquiam 411,GY,276
