Row Label,County,Larry Grove,Jenifer R. Slemp
Salzer,LE,129,33
Napavine #2,LE,0,0
Packwood,LE,58,44
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,301,148
Union,LE,190,74
Paradise,LE,33,26
Napavine #4,LE,0,0
Urquhart,LE,153,49
Mossyrock,LE,88,45
Independence,LE,53,26
Sommerville,LE,51,14
Stillwater West,LE,100,73
Veness,LE,261,88
Greenwood,LE,13,5
Stearns Creek,LE,117,28
Elk Crk,LE,95,36
Stillwater East,LE,58,37
Agate,LE,139,47
Skookumchuck,LE,281,77
Silver Creek,LE,256,101
Meskill,LE,57,12
Onalaska,LE,470,215
Jackson,LE,324,119
Napavine #3(*),LE,0,0
Toledo,LE,131,48
Mauermann,LE,52,35
Chehalis #9,LE,7,6
Chehalis #8,LE,178,86
Harmony,LE,237,116
Chehalis #1,LE,146,114
Chehalis #3,LE,132,69
Chehalis #2,LE,116,71
Chehalis #5,LE,123,50
Chehalis #4,LE,112,76
Chehalis #7,LE,51,9
Chehalis #6,LE,254,103
Centralia #2,LE,237,159
Centralia #3,LE,102,52
Centralia #1,LE,90,64
Centralia #6,LE,187,150
Centralia #7,LE,100,60
Centralia #4,LE,150,93
Centralia #5,LE,98,64
Centralia #8,LE,119,73
Centralia #9,LE,247,128
Mineral,LE,124,65
Salkum,LE,218,68
Randle West,LE,157,94
Ethel,LE,369,113
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,585,203
Parcuvia,LE,222,60
Evaline West,LE,133,60
Pe Ell,LE,119,66
Newaukum,LE,255,71
Forest,LE,294,84
Dryad,LE,75,41
Temple,LE,185,123
Cowlitz,LE,423,139
Drews Prairie,LE,134,38
Seminary Hill,LE,150,53
Klickitat,LE,151,63
Verndale,LE,209,104
Cinebar,LE,220,92
Whealdon,LE,185,75
Sears,LE,198,54
Adna ,LE,474,127
Big Bottom,LE,226,151
Fords Prairie,LE,278,102
Jackson North,LE,0,0
Boistfort,LE,98,26
Claquato,LE,276,70
Curtis,LE,111,28
Vader,LE,85,61
Logan,LE,252,96
Alpha,LE,356,126
Berwick,LE,398,112
Evaline East,LE,83,49
Lincoln Creek,LE,239,64
Randle East,LE,206,123
Salmon Creek,LE,432,157
Emery,LE,165,51
Emery North(*),LE,0,0
Winlock,LE,161,101
Prescott,LE,519,189
Total,LE,16008,6796
Kelly,LE,0,0
Roswell,LE,8,2
Centralia #10,LE,87,54
Centralia #11,LE,236,148
Centralia #12,LE,326,129
Centralia #13,LE,288,162
Morton,LE,195,77
