Row Label,County,Brian Dansel,Tony Booth
Usk,PE,120,34
Diamond Lk East,PE,65,30
Sacheen,PE,152,48
Diamond Lk,PE,215,98
Diamond Lk West,PE,102,44
Noble,PE,199,84
Furport,PE,138,67
Deer Valley South,PE,38,24
Cusick,PE,73,49
Ione East,PE,95,49
Kalispel Leclerc,PE,83,52
Tiger Dry Canyon,PE,172,97
Ruby,PE,18,5
Ione West,PE,110,80
Newport NE,PE,141,71
Metaline,PE,55,31
Newport SE,PE,63,40
Skookum,PE,35,24
Newport NW,PE,133,68
Newport SW,PE,112,44
Dalkena,PE,191,58
Deer Valley North,PE,128,52
Locke,PE,24,10
Fertile Valley South,PE,104,38
Fertile Valley North,PE,105,46
Camden,PE,115,44
Total,PE,2896,1341
Metaline Falls,PE,110,54
