Row Label,County,Mark Lindquist
31-900,PI,209
29-680,PI,265
31-902,PI,427
31-903,PI,3
31-904,PI,58
31-905,PI,253
31-906,PI,161
31-907,PI,248
31-908,PI,215
31-909,PI,241
29-640,PI,322
29-641,PI,337
29-642,PI,338
29-643,PI,28
29-648,PI,6
29-649,PI,102
25-239,PI,418
25-238,PI,221
31-901,PI,38
25-235,PI,14
25-237,PI,1
25-236,PI,308
25-230,PI,110
28-588,PI,368
28-589,PI,371
28-586,PI,342
28-587,PI,247
28-584,PI,252
28-585,PI,389
28-582,PI,150
28-583,PI,228
28-580,PI,57
28-581,PI,235
25-280,PI,402
25-281,PI,266
25-282,PI,400
02-149,PI,398
25-284,PI,204
25-285,PI,486
25-286,PI,377
25-287,PI,4
25-288,PI,392
25-289,PI,0
02-140,PI,388
02-141,PI,369
02-146,PI,269
02-147,PI,260
02-144,PI,326
02-145,PI,355
27-439,PI,356
27-438,PI,368
27-435,PI,411
27-434,PI,365
27-437,PI,359
27-436,PI,378
27-431,PI,161
27-430,PI,409
27-433,PI,414
27-432,PI,385
26-339,PI,81
26-338,PI,343
26-333,PI,423
26-332,PI,379
26-331,PI,120
26-330,PI,295
26-337,PI,438
26-336,PI,474
26-335,PI,365
26-334,PI,409
28-515,PI,478
28-517,PI,462
28-516,PI,453
28-519,PI,465
28-518,PI,471
31-869,PI,145
31-865,PI,89
31-861,PI,84
26-348,PI,435
26-349,PI,420
26-346,PI,365
26-347,PI,348
26-344,PI,60
26-345,PI,389
26-342,PI,474
26-343,PI,399
26-340,PI,490
26-341,PI,394
25-271,PI,374
25-270,PI,384
25-273,PI,260
25-272,PI,384
25-275,PI,0
25-274,PI,496
25-277,PI,371
25-276,PI,16
25-279,PI,339
25-278,PI,142
29-682,PI,319
29-683,PI,325
31-923,PI,188
29-619,PI,306
29-618,PI,274
29-617,PI,314
29-616,PI,317
29-615,PI,385
29-614,PI,380
29-613,PI,348
29-612,PI,173
29-611,PI,73
29-610,PI,321
28-559,PI,361
28-558,PI,344
28-551,PI,538
28-550,PI,314
28-553,PI,472
28-552,PI,476
28-555,PI,508
28-554,PI,424
28-557,PI,350
28-556,PI,360
02-115,PI,299
02-114,PI,179
02-117,PI,362
02-116,PI,388
02-111,PI,281
25-291,PI,92
02-113,PI,240
02-112,PI,221
02-143,PI,265
25-290,PI,35
02-119,PI,215
02-118,PI,228
31-823,PI,209
31-822,PI,250
31-827,PI,79
31-826,PI,335
31-825,PI,275
31-824,PI,1
31-829,PI,271
31-828,PI,292
26-302,PI,574
26-303,PI,534
26-301,PI,156
26-304,PI,597
26-305,PI,561
31-892,PI,212
31-893,PI,0
31-890,PI,184
27-471,PI,15
31-891,PI,99
27-475,PI,336
27-477,PI,360
27-476,PI,275
31-896,PI,6
31-897,PI,146
31-894,PI,46
31-895,PI,231
31-856,PI,249
31-857,PI,168
31-854,PI,147
31-855,PI,184
31-853,PI,57
31-919,PI,276
31-917,PI,369
31-916,PI,236
31-915,PI,53
31-914,PI,215
31-913,PI,111
31-912,PI,198
31-911,PI,157
31-910,PI,257
29-653,PI,322
29-652,PI,38
29-651,PI,375
29-650,PI,322
29-657,PI,6
29-656,PI,298
29-655,PI,144
29-654,PI,370
29-659,PI,194
29-658,PI,303
25-208,PI,452
25-209,PI,443
25-201,PI,471
25-202,PI,359
25-203,PI,431
25-204,PI,386
25-205,PI,416
25-206,PI,283
28-590,PI,12
29-626,PI,10
29-627,PI,0
29-624,PI,0
29-625,PI,8
29-622,PI,249
29-623,PI,76
29-620,PI,189
29-621,PI,0
02-159,PI,201
02-158,PI,303
02-151,PI,118
02-150,PI,287
02-153,PI,279
02-152,PI,356
02-155,PI,351
02-154,PI,281
02-157,PI,412
02-156,PI,436
27-408,PI,448
27-409,PI,445
27-401,PI,221
27-404,PI,149
27-405,PI,473
27-406,PI,565
27-407,PI,448
28-520,PI,472
28-521,PI,490
28-522,PI,484
28-523,PI,482
28-524,PI,506
28-525,PI,532
28-526,PI,334
28-527,PI,553
28-528,PI,471
28-529,PI,381
31-818,PI,85
31-819,PI,148
31-813,PI,157
31-810,PI,172
31-816,PI,271
31-817,PI,345
31-814,PI,39
31-815,PI,239
26-351,PI,402
26-350,PI,422
26-352,PI,407
31-926,PI,10
31-927,PI,244
31-924,PI,181
31-925,PI,86
25-248,PI,484
25-249,PI,413
31-920,PI,219
31-921,PI,224
25-244,PI,486
25-245,PI,2
25-246,PI,34
25-247,PI,371
25-240,PI,167
25-241,PI,215
25-242,PI,436
25-243,PI,327
02-110,PI,204
29-668,PI,248
29-669,PI,349
29-662,PI,0
29-663,PI,316
29-660,PI,405
29-661,PI,281
29-667,PI,346
29-664,PI,330
28-565,PI,335
28-566,PI,343
28-567,PI,370
28-560,PI,495
28-561,PI,271
28-562,PI,228
28-563,PI,136
28-568,PI,384
02-148,PI,353
02-120,PI,291
02-121,PI,368
02-122,PI,375
02-123,PI,352
02-124,PI,296
02-125,PI,281
02-126,PI,370
02-127,PI,210
02-128,PI,379
02-129,PI,217
02-142,PI,252
26-315,PI,455
26-317,PI,417
26-316,PI,500
26-319,PI,398
26-318,PI,367
27-448,PI,13
27-449,PI,380
27-444,PI,345
27-445,PI,325
27-446,PI,327
27-447,PI,351
27-440,PI,401
27-441,PI,314
27-442,PI,266
27-443,PI,292
31-845,PI,251
31-844,PI,192
31-847,PI,148
31-846,PI,109
31-841,PI,152
31-840,PI,134
31-843,PI,202
31-842,PI,241
31-849,PI,116
31-848,PI,37
25-217,PI,458
25-216,PI,267
25-215,PI,409
25-213,PI,485
25-212,PI,423
25-211,PI,391
25-210,PI,504
25-219,PI,403
25-218,PI,412
29-671,PI,301
29-670,PI,368
29-675,PI,332
29-677,PI,334
29-676,PI,319
29-635,PI,87
31-883,PI,368
29-637,PI,290
29-636,PI,413
29-633,PI,31
29-639,PI,300
29-638,PI,172
31-882,PI,288
28-538,PI,399
28-537,PI,468
28-536,PI,440
28-535,PI,493
28-531,PI,404
28-530,PI,214
30-713,PI,4
31-809,PI,294
31-808,PI,302
31-801,PI,197
31-803,PI,312
31-802,PI,287
31-805,PI,315
31-804,PI,289
31-807,PI,3
31-806,PI,367
25-293,PI,382
27-417,PI,476
27-416,PI,459
27-415,PI,487
27-414,PI,484
27-413,PI,444
27-412,PI,421
27-411,PI,523
27-410,PI,474
31-898,PI,320
31-899,PI,172
27-419,PI,445
27-418,PI,426
25-292,PI,428
25-259,PI,401
25-258,PI,423
25-253,PI,246
25-252,PI,349
25-251,PI,345
25-250,PI,170
25-257,PI,363
25-256,PI,369
25-255,PI,255
25-254,PI,226
Total,PI,148467
29-679,PI,263
29-678,PI,258
25-228,PI,397
25-226,PI,287
25-227,PI,217
29-673,PI,370
29-672,PI,192
25-222,PI,313
29-674,PI,118
25-220,PI,2
25-221,PI,384
30-708,PI,258
28-573,PI,262
28-572,PI,378
28-571,PI,6
28-570,PI,5
28-577,PI,12
28-576,PI,378
28-575,PI,2
28-574,PI,72
28-579,PI,61
28-578,PI,70
02-139,PI,323
02-138,PI,416
02-137,PI,182
02-136,PI,65
02-135,PI,371
02-134,PI,398
02-133,PI,93
02-131,PI,402
02-130,PI,192
27-428,PI,393
27-429,PI,406
27-426,PI,408
27-427,PI,404
27-424,PI,440
27-425,PI,403
27-422,PI,549
27-423,PI,490
27-420,PI,522
27-421,PI,382
26-328,PI,343
26-329,PI,421
26-324,PI,442
26-325,PI,386
26-326,PI,449
26-327,PI,454
26-320,PI,417
26-321,PI,541
26-322,PI,487
26-323,PI,487
28-506,PI,491
28-507,PI,391
28-504,PI,450
28-505,PI,492
28-502,PI,498
28-503,PI,492
28-501,PI,484
28-508,PI,213
28-509,PI,0
27-459,PI,230
27-458,PI,236
27-453,PI,256
27-452,PI,355
27-451,PI,309
27-450,PI,400
27-457,PI,324
27-456,PI,279
27-455,PI,317
27-454,PI,386
31-873,PI,64
31-874,PI,0
31-875,PI,351
31-876,PI,25
31-877,PI,145
31-879,PI,71
25-283,PI,208
25-262,PI,362
25-263,PI,331
25-260,PI,393
25-261,PI,278
25-266,PI,410
25-267,PI,187
25-264,PI,415
25-265,PI,423
25-268,PI,206
25-269,PI,254
29-600,PI,0
29-601,PI,278
29-602,PI,249
29-603,PI,325
29-604,PI,322
29-605,PI,259
29-606,PI,343
29-607,PI,424
29-608,PI,294
29-609,PI,230
31-881,PI,183
28-548,PI,375
28-549,PI,398
31-880,PI,113
28-542,PI,417
28-543,PI,375
28-540,PI,551
28-541,PI,404
28-546,PI,398
28-547,PI,536
28-545,PI,440
02-106,PI,389
30-709,PI,268
02-105,PI,126
02-101,PI,130
31-885,PI,121
30-701,PI,11
30-707,PI,169
30-706,PI,284
30-705,PI,190
31-884,PI,323
31-834,PI,250
31-835,PI,439
31-836,PI,292
31-837,PI,238
31-830,PI,131
31-887,PI,244
31-833,PI,298
31-886,PI,286
31-838,PI,210
31-839,PI,28
27-462,PI,402
27-463,PI,310
27-460,PI,382
27-461,PI,451
27-466,PI,361
27-467,PI,339
27-464,PI,356
27-465,PI,310
31-888,PI,248
27-468,PI,326
