Row Label,County,Maureen S. Walsh,Mary Ruth Edwards
ALTO,CU,28,36
TOUCHET,CU,104,48
STARBUCK COUNTRY,CU,14,10
STAR,CU,65,39
MUSTARD,CU,114,59
DAYTON,CU,153,48
PING,CU,115,72
BROOKLYN,CU,129,50
TUCANNON,CU,33,33
STARBUCK CITY,CU,37,32
COLUMBIA,CU,171,82
RAINWATER,CU,101,37
Total,CU,1173,591
PATIT,CU,109,45
