Row Label,County,Dan Kristiansen
TINGLEY,SK,178
VAN FLEET,SK,289
SEDRO WOOLLEY  4,SK,325
BIRDSVIEW,SK,346
SEDRO WOOLLEY  2,SK,360
SEDRO WOOLLEY  3,SK,232
SEDRO WOOLLEY  1,SK,329
SEDRO WOOLLEY  6,SK,304
SEDRO WOOLLEY  7,SK,6
ROCKPORT,SK,230
SEDRO WOOLLEY  5,SK,425
COLLINS,SK,200
CONCRETE,SK,129
SAMISH,SK,219
MCRAE,SK,473
PRAIRIE,SK,356
HAMBURG,SK,126
SAUK,SK,320
MANSFORD,SK,53
STERLING,SK,103
LYMAN,SK,80
NOOKACHAMPS,SK,174
CASCADE,SK,55
HAMILTON,SK,47
ALGER,SK,213
ALDER,SK,184
CLEAR LAKE,SK,317
FRUITDALE,SK,162
Total,SK,6440
MINKLER,SK,205
