Row Label,County,Joe Schmick
ENDICOTT 147,WT,101
LACROSSE IN,WT,116
GARFIELD IN,WT,173
PULLMAN CITY 114,WT,17
PULLMAN 235,WT,273
FARMINGTON 103,WT,30
LAMONT IN,WT,21
PULLMAN 234,WT,54
COLFAX CITY 139,WT,216
PULLMAN CITY 127,WT,22
MALDEN IN,WT,46
PULLMAN CITY 125,WT,14
PULLMAN CITY 124,WT,19
PULLMAN CITY 123,WT,163
PULLMAN CITY 122,WT,78
PULLMAN CITY 121,WT,120
PULLMAN CITY 120,WT,434
UNIONTOWN 109,WT,60
TEKOA 101,WT,55
PULLMAN CITY 129,WT,51
PULLMAN CITY 128,WT,50
COLFAX RURAL 137,WT,243
DUSTY 143,WT,53
ALBION 112,WT,93
COLFAX CITY 142,WT,308
PULLMAN CITY 126,WT,16
COLTON 108,WT,88
COLFAX CITY 141,WT,167
WILCOX 138,WT,126
HAY 144,WT,22
PULLMAN 228,WT,15
ALBION IN,WT,129
COLFAX RURAL 136,WT,135
COLTON IN,WT,164
ROSALIA IN,WT,184
TEKOA IN,WT,190
MALDEN 150,WT,8
HOOPER 145,WT,16
OAKESDALE IN,WT,156
ST JOHN IN,WT,182
LAMONT 148,WT,40
ROSALIA 151,WT,69
ST JOHN 149,WT,194
PULLMAN CITY 135,WT,134
ENDICOTT IN,WT,106
COLFAX CITY 140,WT,196
PULLMAN 218,WT,250
PULLMAN CITY 134,WT,16
OAKESDALE 102,WT,88
PULLMAN CITY 118,WT,222
PULLMAN CITY 119,WT,148
PULLMAN CITY 130,WT,39
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,322
PULLMAN RURAL 111,WT,92
THORNTON 152,WT,49
LACROSSE 146,WT,76
PULLMAN CITY 116,WT,318
PULLMAN CITY 117,WT,122
PALOUSE 107,WT,243
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,156
UNIONTOWN IN,WT,89
STEPTOE 104,WT,95
FARMINGTON IN,WT,56
PULLMAN CITY 113,WT,109
GARFIELD 105,WT,83
Total,WT,7731
