Row Label,County,Steve Clem
PRECINCT 107,DG,132
PRECINCT 106,DG,138
PRECINCT 105,DG,102
PRECINCT 104,DG,380
PRECINCT 103,DG,67
PRECINCT 102,DG,320
PRECINCT 101,DG,165
PRECINCT 109,DG,112
PRECINCT 108,DG,151
PRECINCT 305,DG,115
PRECINCT 304,DG,48
PRECINCT 307,DG,43
PRECINCT 306,DG,129
PRECINCT 208,DG,130
PRECINCT 209,DG,237
PRECINCT 303,DG,163
PRECINCT 302,DG,272
PRECINCT 204,DG,229
PRECINCT 205,DG,338
PRECINCT 206,DG,129
PRECINCT 207,DG,269
PRECINCT 309,DG,67
PRECINCT 201,DG,171
PRECINCT 202,DG,72
PRECINCT 203,DG,224
PRECINCT 311,DG,106
PRECINCT 310,DG,92
PRECINCT 316,DG,229
PRECINCT 308,DG,41
PRECINCT 314,DG,40
PRECINCT 315,DG,267
PRECINCT 114,DG,148
PRECINCT 110,DG,208
PRECINCT 111,DG,274
PRECINCT 112,DG,159
PRECINCT 113,DG,165
PRECINCT 318,DG,74
PRECINCT 312,DG,135
PRECINCT 313,DG,49
PRECINCT 215,DG,203
PRECINCT 214,DG,60
PRECINCT 213,DG,137
PRECINCT 212,DG,160
PRECINCT 211,DG,63
PRECINCT 210,DG,82
PRECINCT 317,DG,352
PRECINCT 301,DG,309
Total,DG,7556
