Row Label,County,Mary Yu
Montesano 601,GY,422
Riviera 050,GY,23
McCleary Rural 060,GY,246
Hoquiam 421,GY,213
Satsop 052,GY,109
Aberdeen 132,GY,0
Lois Lane 082,GY,76
Ocosta 092,GY,0
Cutoff032,GY,52
Johns River 094,GY,184
Melbourne 072,GY,194
Bush 058,GY,336
Aberdeen 121,GY,347
Geissler 036,GY,28
Coats Landing 034,GY,168
Hoquiam 441,GY,265
Grayland 096,GY,207
Hoquiam 461,GY,221
Blockhouse 068,GY,187
Boundary 044,GY,29
Westport 901,GY,356
Humptulips 018,GY,34
Chehalis 066,GY,4
Elma 302,GY,312
Aberdeen 111,GY,383
Cohasset 098,GY,128
Burrows 014,GY,13
Quinault 004,GY,92
Porter 062,GY,111
Delezenne 070,GY,223
Pacific Beach 008,GY,130
Aberdeen 131,GY,479
Elma 301,GY,148
Axford 020,GY,84
Brady 048,GY,246
Hoquiam 431,GY,253
Dekay 022,GY,41
Ocean City 012,GY,170
Moclips 010,GY,19
Montesano 603,GY,0
Cosmopolis 201,GY,355
Cedar Creek 064,GY,55
Ocean Shores 801,GY,399
Ocean Shores 802,GY,515
Ocean Shores 803,GY,473
North Wishkah 028,GY,1
Calder 056,GY,161
Lund 088,GY,43
Taholah 002,GY,158
Aberdeen 142,GY,253
Devonshire 074,GY,174
Reynvaan 040,GY,82
Aberdeen Lake 038,GY,2
Aberdeen 161,GY,369
Wilderness 016,GY,71
Hoquiam 451,GY,200
Sierra 086,GY,1
Blue Slough 084,GY,123
Black Creek 046,GY,283
Hoquiam Rural 024,GY,186
Wishkah 030,GY,153
Stover 026,GY,35
Oakville 701,GY,91
Aberdeen 141,GY,320
Vesta 076,GY,30
Artic 078,GY,34
Wynoochee 042,GY,4
Montesano 602,GY,458
Aberdeen 151,GY,214
Central Park 080,GY,376
Newskah 090,GY,11
McCleary 501,GY,264
Neilton 006,GY,43
Total,GY,12704
Hoquiam 411,GY,234
