Row Label,County,Kelli E. Osler
669,CR,330
668,CR,374
667,CR,307
664,CR,403
663,CR,276
662,CR,402
660,CR,415
130,CR,386
571,CR,367
490,CR,266
491,CR,26
626,CR,380
692,CR,418
693,CR,241
690,CR,381
691,CR,389
696,CR,442
697,CR,502
694,CR,157
695,CR,420
698,CR,343
699,CR,338
450,CR,469
540,CR,402
340,CR,393
400,CR,231
930,CR,355
452,CR,344
935,CR,373
570,CR,380
678,CR,293
679,CR,272
674,CR,338
675,CR,248
677,CR,365
670,CR,410
672,CR,336
455,CR,287
120,CR,458
575,CR,118
914,CR,400
917,CR,269
528,CR,329
910,CR,371
537,CR,157
415,CR,294
535,CR,478
410,CR,439
913,CR,418
298,CR,237
530,CR,157
296,CR,287
370,CR,283
294,CR,254
912,CR,335
925,CR,336
290,CR,384
538,CR,190
591,CR,480
590,CR,499
593,CR,385
592,CR,453
595,CR,205
594,CR,13
597,CR,40
200,CR,411
598,CR,10
629,CR,349
700,CR,63
190,CR,399
985,CR,315
390,CR,467
110,CR,390
113,CR,223
112,CR,37
250,CR,473
536,CR,233
628,CR,440
524,CR,39
525,CR,242
527,CR,310
520,CR,211
521,CR,6
522,CR,140
523,CR,4
420,CR,386
423,CR,322
255,CR,404
425,CR,293
424,CR,456
360,CR,378
426,CR,528
586,CR,341
587,CR,316
449,CR,511
448,CR,481
582,CR,309
583,CR,300
580,CR,256
581,CR,189
441,CR,387
440,CR,387
447,CR,465
446,CR,375
445,CR,489
444,CR,487
245,CR,419
920,CR,311
108,CR,371
240,CR,446
102,CR,320
100,CR,404
615,CR,165
106,CR,346
649,CR,329
104,CR,389
903,CR,387
900,CR,346
905,CR,397
641,CR,152
640,CR,405
643,CR,383
642,CR,173
645,CR,468
644,CR,400
647,CR,254
646,CR,200
436,CR,226
510,CR,263
434,CR,264
435,CR,267
515,CR,444
430,CR,287
588,CR,229
579,CR,15
578,CR,32
627,CR,398
338,CR,381
625,CR,386
624,CR,100
335,CR,316
451,CR,378
337,CR,345
453,CR,362
577,CR,491
330,CR,402
456,CR,530
574,CR,16
600,CR,204
175,CR,286
257,CR,414
170,CR,305
543,CR,353
596,CR,0
654,CR,277
656,CR,199
710,CR,185
180,CR,333
655,CR,377
652,CR,359
653,CR,342
650,CR,393
651,CR,267
505,CR,441
502,CR,337
503,CR,286
500,CR,408
659,CR,391
630,CR,318
631,CR,441
632,CR,208
633,CR,370
634,CR,347
635,CR,302
636,CR,321
560,CR,387
639,CR,356
545,CR,272
460,CR,566
566,CR,266
225,CR,516
160,CR,317
220,CR,295
964,CR,394
965,CR,343
966,CR,232
967,CR,220
960,CR,434
961,CR,76
962,CR,271
963,CR,299
968,CR,337
969,CR,223
658,CR,334
720,CR,294
947,CR,314
605,CR,349
150,CR,248
153,CR,272
606,CR,66
395,CR,109
603,CR,200
555,CR,451
550,CR,434
553,CR,367
584,CR,363
681,CR,322
959,CR,17
958,CR,70
951,CR,327
950,CR,380
953,CR,176
957,CR,74
638,CR,351
327,CR,415
585,CR,458
325,CR,296
620,CR,418
147,CR,315
618,CR,398
563,CR,440
613,CR,163
610,CR,506
617,CR,392
565,CR,320
511,CR,24
648,CR,324
487,CR,191
485,CR,243
673,CR,423
483,CR,538
573,CR,489
480,CR,516
686,CR,294
432,CR,295
576,CR,3
940,CR,331
470,CR,504
689,CR,412
688,CR,327
350,CR,326
685,CR,102
687,CR,375
Total,CR,78477
572,CR,496
680,CR,305
683,CR,349
682,CR,356
