Row Label,County,Yes,No
CLARKSTON #2,AS,124,122
SWALLOWS NEST,AS,205,242
WEST CLARKSTON #1,AS,160,119
WEST CLARKSTON #2,AS,143,141
WEST CLARKSTON #3,AS,183,172
ASOTIN #1,AS,127,94
ASOTIN #2,AS,117,127
SOUTH CLARKSTON #1,AS,126,130
SOUTH CLARKSTON #2,AS,171,170
W ASOTIN,AS,61,109
CLARKSTON #6,AS,143,110
CLARKSTON #7,AS,79,83
RURAL ASOTIN,AS,69,100
CLARKSTON #4,AS,129,134
Total,AS,3710,3675
ANATONE,AS,49,97
CLARKSTON #3,AS,122,108
CLARKSTON HTS #4,AS,158,149
CLARKSTON #8,AS,133,97
CLARKSTON HTS #3,AS,60,63
CLARKSTON HTS #2,AS,255,299
CLARKSTON HTS #1,AS,177,140
CLARKSTON #5,AS,109,53
CLARKSTON HTS #7,AS,179,205
CLARKSTON HTS #6,AS,238,247
CLARKSTON HTS #5,AS,266,306
CLARKSTON #1,AS,127,58
