Row Label,County,Emma J. Paulsen,James A. von Sauer
SHERMAN,FE,133,55
REPUBLIC 2,FE,138,53
REPUBLIC 1,FE,155,40
LAMBERT,FE,61,18
HALL CREEK,FE,49,31
CURLEW,FE,15,10
STORM KING,FE,162,47
TORODA,FE,75,30
BOYDS,FE,76,38
MALO,FE,112,48
SOUTH LAKE,FE,119,25
KETTLE RIVER,FE,141,48
KEWA,FE,49,35
BELCHER,FE,81,17
KELLER,FE,65,36
TROUT CREEK,FE,222,48
Total,FE,1976,683
ORIENT,FE,77,34
SAN POIL,FE,210,46
INCHELIUM,FE,36,24
