Row Label,County,Larry Haskell,Breean L. Beggs
PCT 3000(*),SP,0,0
PCT 3329,SP,131,224
PCT 4448,SP,230,163
PCT 3323,SP,199,252
PCT 3322,SP,163,204
PCT 3321,SP,251,252
PCT 3320,SP,156,196
PCT 3327,SP,131,197
PCT 3326,SP,73,110
PCT 4438,SP,457,191
PCT 4439,SP,298,196
PCT 3325,SP,194,340
PCT 4432,SP,311,202
PCT 4433,SP,216,132
PCT 4430,SP,319,203
PCT 3324,SP,182,258
PCT 4436,SP,510,179
PCT 4437,SP,313,228
PCT 4434,SP,487,220
PCT 4435,SP,372,154
PCT 7028,SP,470,201
PCT 7029,SP,258,185
PCT 7020,SP,378,155
PCT 7021,SP,195,104
PCT 7022,SP,251,162
PCT 7023,SP,237,171
PCT 7024,SP,459,186
PCT 7025,SP,307,154
PCT 7026,SP,350,163
PCT 7027,SP,234,160
PCT 3222,SP,68,170
PCT 3223,SP,91,230
PCT 3220,SP,287,290
PCT 3221,SP,296,237
PCT 6221,SP,387,252
PCT 6220,SP,365,212
PCT 6223,SP,377,242
PCT 6222,SP,322,104
PCT 6225,SP,313,256
PCT 6224,SP,244,251
PCT 3128,SP,171,193
PCT 3121,SP,175,180
PCT 3120,SP,169,198
PCT 3123,SP,179,162
PCT 3122,SP,206,273
PCT 3125,SP,153,194
PCT 3124,SP,177,193
PCT 3127,SP,136,219
PCT 3126,SP,44,34
PCT 9400,SP,30,7
PCT 4034,SP,257,127
PCT 4035,SP,254,70
PCT 4032,SP,203,102
PCT 4033,SP,262,123
PCT 4030,SP,209,131
PCT 4031,SP,290,107
PCT 6315,SP,148,144
PCT 6314,SP,259,200
PCT 6317,SP,218,145
PCT 6316,SP,129,98
PCT 6311,SP,253,167
PCT 6310,SP,240,190
PCT 6313,SP,272,243
PCT 6312,SP,254,164
PCT 6318,SP,268,137
PCT 6009,SP,211,162
PCT 6008,SP,233,148
PCT 9700,SP,113,44
PCT 6001,SP,285,169
PCT 6000,SP,245,99
PCT 6003,SP,402,138
PCT 6002,SP,85,40
PCT 6005,SP,261,167
PCT 6004,SP,208,137
PCT 6007,SP,247,179
PCT 6006,SP,293,175
PCT 3301,SP,373,251
PCT 3100(*),SP,0,0
PCT 3303,SP,225,213
PCT 3302,SP,266,200
PCT 3305,SP,190,181
PCT 3304,SP,252,201
PCT 3307,SP,186,141
PCT 3306,SP,279,182
