Row Label,County,Timothy J. Davidson
Memorial,CZ,219
Windemere,CZ,464
Modrow,CZ,268
Ostrander,CZ,346
Baltimore,CZ,341
Magnolia,CZ,518
Hudson,CZ,367
Lake,CZ,297
Douglas,CZ,251
Kessler,CZ,417
St. Helens,CZ,165
Woodage,CZ,199
Arkansas,CZ,137
Olson,CZ,212
Woodland South,CZ,324
Tunstall,CZ,118
Brynion,CZ,239
Marigold,CZ,451
Crawford,CZ,309
Chinook,CZ,355
Ridgecrest,CZ,26
Cloverdale,CZ,244
Elk Ridge,CZ,3
Woodland North,CZ,365
West Kelso,CZ,91
Ponderosa,CZ,275
Owl Creek,CZ,403
Willow Grove,CZ,97
Robbins,CZ,438
Powell,CZ,302
Ocean Beach,CZ,301
Sparks,CZ,195
Beacon,CZ,428
Harris,CZ,293
Delameter,CZ,278
Ryderwood,CZ,141
Redpath,CZ,257
Nevada,CZ,288
Sandy Bend,CZ,303
Mint Valley,CZ,508
Burcham,CZ,558
Columbia Valley Gdns,CZ,232
Lexington,CZ,312
Rose Valley,CZ,206
Mt. Solo,CZ,95
Haussler,CZ,222
Silver Lake,CZ,494
Ammons,CZ,218
Kalama North,CZ,254
Yale,CZ,222
Bakers,CZ,15
Sacajawea,CZ,597
Alabama,CZ,220
Kalama South,CZ,347
Mill,CZ,415
Caples,CZ,102
Lone Oak,CZ,182
Lewis River,CZ,369
Industrial,CZ,0
Castle Rock,CZ,417
Stella,CZ,284
Toutle,CZ,384
Tower,CZ,477
Columbia Heights,CZ,185
Pacific,CZ,371
McGowan,CZ,65
Hillcrest,CZ,540
Boondox,CZ,12
View,CZ,217
Coal Creek,CZ,405
Laurel,CZ,394
Carrolls,CZ,307
Total,CZ,20351
