Row Label,County,Sarah Hayne,Ketu Shah
BOTHELL 40,SN,172,108
BOTHELL 41,SN,160,127
BOTHELL 42,SN,160,162
BOTHELL 43,SN,110,77
BOTHELL 44,SN,109,95
BOTHELL 45,SN,76,57
BOTHELL 46,SN,181,64
BOTHELL 47,SN,158,121
BOTHELL 31,SN,145,139
BOTHELL 33,SN,141,91
BOTHELL 32,SN,110,76
BOTHELL 35,SN,136,86
BOTHELL 34,SN,137,151
BOTHELL 37,SN,184,132
BOTHELL 36,SN,139,89
BOTHELL 39,SN,116,84
BOTHELL 38,SN,151,91
Total,SN,2385,1750
