Row Label,County,Eddie Yoon,Charles W. Johnson
BLUFFS 210,CM,72,154
PORT ANGELES 109,CM,168,393
PORT ANGELES 108,CM,66,163
BELLEVIEW 205,CM,100,329
CARLSBORG 214,CM,86,211
PORT ANGELES 103,CM,121,357
PORT ANGELES 102,CM,141,302
PORT ANGELES 101,CM,74,229
OLYMPIC 254,CM,85,205
PORT ANGELES 107,CM,108,366
PORT ANGELES 106,CM,87,281
PORT ANGELES 105,CM,109,347
PORT ANGELES 104,CM,97,234
AGNEW 201,CM,80,263
JAMESTOWN 240,CM,82,174
FRESHWATER BAY 233,CM,128,386
DUNGENESS EAST 222,CM,114,363
SUN 269,CM,24,99
CLARK 216,CM,48,103
MOUNT PLEASANT 251,CM,97,267
PORT WILLIAMS 258,CM,53,181
MILLER PENINSULA 246,CM,69,158
ELK 229,CM,24,78
FAIRVIEW 232,CM,126,291
OBRIEN 253,CM,86,261
HAPPY VALLEY 237,CM,71,155
EAGLE 226,CM,80,243
COYOTE 218,CM,129,324
BOGACHIEL 212,CM,34,91
ROBIN HILL 266,CM,103,221
PRAIRIE NORTH 259,CM,84,273
JOYCE 241,CM,136,319
NEAH BAY 252,CM,64,114
SEQUIM 406,CM,68,269
MADISON CREEK 248,CM,46,97
FORKS 301,CM,52,146
DEER PARK 220,CM,117,323
DIAMOND POINT 221,CM,114,291
BEAVER 204,CM,77,187
MONTERRA 249,CM,83,306
PORT ANGELES 110,CM,35,80
PORT ANGELES 111,CM,139,371
PORT ANGELES 112,CM,66,214
PORT ANGELES 113,CM,76,216
QUILEUTE 262,CM,38,91
CLINE 217,CM,120,303
FORKS 302,CM,77,205
BELL HILL 207,CM,90,324
PRAIRIE SOUTH 260,CM,116,266
MOUNT ANGELES 250,CM,60,162
SUNLAND NORTH 270,CM,89,329
BLYN 211,CM,93,255
DUNGENESS WEST 223,CM,56,170
BLUE MOUNTAIN 209,CM,96,309
MACLEAY 247,CM,74,313
SEQUIM 404,CM,145,382
SEQUIM 405,CM,87,256
SEQUIM 402,CM,61,160
SEQUIM 403,CM,119,280
DRY CREEK 224,CM,104,235
CLALLAM BAY 215,CM,54,144
LOST MOUNTAIN 245,CM,53,190
SEQUIM 401,CM,65,153
RIVERSIDE 265,CM,102,272
BLACK DIAMOND 208,CM,47,204
SUNLAND SOUTH 271,CM,82,195
ELWHA 230,CM,21,94
Total,CM,5668,15727
