Row Label,County,Michael Finkle
BOTHELL 40,SN,226
BOTHELL 41,SN,227
BOTHELL 42,SN,267
BOTHELL 43,SN,157
BOTHELL 44,SN,166
BOTHELL 45,SN,110
BOTHELL 46,SN,208
BOTHELL 47,SN,221
BOTHELL 31,SN,205
BOTHELL 33,SN,200
BOTHELL 32,SN,152
BOTHELL 35,SN,170
BOTHELL 34,SN,221
BOTHELL 37,SN,251
BOTHELL 36,SN,192
BOTHELL 39,SN,153
BOTHELL 38,SN,192
Total,SN,3318
