Row Label,County,Dave Hayes,Nick Petrish
LAKEWOOD,SN,187,90
KACKMAN,SN,153,75
SILVANA,SN,143,67
STANBY,SN,75,19
BRYANT,SN,76,47
KAYAK,SN,192,95
LAKE GOODWIN,SN,313,157
ARMSTRONG,SN,167,73
MC DONALD,SN,161,69
ROWLAND,SN,123,85
TRONSON,SN,130,72
PORT SUSAN,SN,297,130
KETCHUM,SN,197,100
CEDARHOME,SN,207,93
WATERS,SN,282,108
VILLAGE,SN,248,179
SILVANA TERRACE,SN,141,77
HENNING,SN,266,139
FLORENCE,SN,86,38
NORTH FORK,SN,115,62
SUNDAY LAKE,SN,254,143
BOULDER,SN,249,162
HAPPY VALLEY,SN,138,76
SHOECRAFT,SN,263,103
ROSE,SN,146,81
MC RAE,SN,153,73
STANWOOD 1,SN,84,65
LAKE HOWARD,SN,195,110
STANWOOD 3,SN,170,68
STANWOOD 2,SN,197,78
STANWOOD 5,SN,285,93
STANWOOD 4,SN,286,119
STANWOOD 7,SN,102,72
STANWOOD 6,SN,152,61
THOMPSON,SN,218,138
Total,SN,6590,3302
CLIFF,SN,139,85
