Row Label,County,Steve Krupke
HARRINGTON IN,LI,113
LONG LAKE,LI,54
S REARDAN RURAL,LI,51
DAVENPORT RURAL,LI,71
IRBY,LI,17
KELLER,LI,53
LAMONA,LI,22
HAWK CREEK,LI,54
EDWALL,LI,66
MOHLER,LI,44
EGYPT,LI,92
WEST LARENE,LI,29
SPRAGUE RURAL,LI,84
WHEATLAND,LI,69
EAST LARENE,LI,70
GRAVELLE,LI,37
GRAND COULEE,LI,25
REARDAN IN,LI,191
PEACH,LI,99
ALMIRA RURAL,LI,22
N REARDAN RURAL,LI,43
HARR RURAL,LI,43
GOVAN,LI,19
LAKEVIEW,LI,86
ODESSA IN,LI,276
SPRAGUE IN,LI,96
RIVERVIEW,LI,114
ENOS,LI,9
LAYTON,LI,12
CANBY,LI,34
EARL,LI,30
WILBUR RURAL,LI,67
WAUKON,LI,37
WILBUR IN,LI,283
DOWNS,LI,21
SHERMAN,LI,47
MONDOVI,LI,65
ALMIRA IN,LI,81
SPRING CREEK,LI,77
SEVEN BAYS,LI,41
CRESTON RURAL,LI,38
CRESTON IN,LI,67
ODESSA RURAL,LI,73
WILSON CREEK,LI,27
Total,LI,3411
DAVENPORT IN,LI,452
BLUESTEM,LI,10
