Row Label,County,Cindy Carter,Randy R Zolman
Ephrata 7 012,GR,179,104
Hartline Rural S 020,GR,11,12
Moses Lake 5 029,GR,191,82
Ephrata 9 013,GR,322,153
Beverly 002,GR,17,17
East Wahluke 061,GR,62,22
Royal City 044,GR,94,25
Moses Lake 2 067,GR,156,74
Marlin 024,GR,11,7
Lakeview Park 021,GR,153,100
Moses Lake 9  068,GR,185,104
Coulee City 005,GR,121,47
North Banks Lake 037,GR,28,23
Ephrata Rural E,GR,154,104
Moses Lake 7 033,GR,229,119
George 015,GR,26,12
Mae 023,GR,500,218
Ruff 045,GR,31,16
Cascade Valley 058,GR,337,132
Wilson Crk Rural 056,GR,12,15
Electric City 007,GR,149,91
Coulee Cty Rur N 072,GR,34,21
Moses Lake 1 066,GR,130,63
Hartline 019,GR,32,17
Moses Lake 4 031,GR,177,81
Cascade Fairgrnd 004,GR,139,69
Warden 050,GR,100,57
Ephrata 5 008,GR,181,66
Quincy 4 040,GR,62,81
Ephrata 4 011,GR,260,122
Quincy 1 039,GR,78,180
Stratford 049,GR,29,15
Westslope 1 053,GR,69,34
McConihe 1 028,GR,102,57
Marlin Rural 025,GR,20,20
Coulee Cty Rur W 006,GR,59,14
Coulee Cty Rur E 062,GR,12,8
Moses Lake 6 032,GR,282,136
Wheeler 2 070,GR,369,170
Longview 022,GR,228,109
Greenfield 065,GR,32,20
Mattawa Rural 027,GR,284,131
Westslope 2 059(*),GR,0,0
Airport 2 057,GR,118,59
Soap Lake 1 047,GR,102,46
Smyrna 2 060(*),GR,0,0
Airport 1 001,GR,151,71
Grand Coulee 018,GR,118,91
Moses Lake 12 036,GR,199,100
Gloyd 017,GR,160,98
Hartline Rural N 073,GR,16,11
Smyrna 1 046,GR,93,27
Moses Lake 3 030,GR,273,142
Mattawa 026,GR,31,9
O Sullivan Dam 2 069,GR,364,190
Soap Lake 2 052,GR,87,69
Quincy Rural S 064,GR,207,341
Ephrata Rural ,GR,170,79
Ephrata 3 010,GR,137,72
Wheeler 1 054,GR,148,58
Warden Rural 051,GR,234,112
George Rural 016,GR,243,244
McConihe 2 063,GR,80,55
Quincy 6 041,GR,157,303
Block 71 003,GR,285,231
Wilson Creek 055,GR,23,42
Quincy Rural N 042,GR,92,128
Moses Lake 8 034,GR,272,174
O Sullivan Dam 1 038,GR,290,133
Soap Lake Rur E ,GR,47,40
Royal Camp 043,GR,316,106
Total,GR,10867,6398
Soap Lake Rur W ,GR,190,107
Ephrata 2 009,GR,200,112
Moses Lake 11 035,GR,329,179
