Row Label,County,Joe Schmick
PATAHA,GA,138
PING - VOTE BY MAIL,GA,15
PEOLA-VOTE BY MAIL,GA,12
TUCANNON - VB MAIL,GA,57
WARD 3,GA,198
GROUSE-VOTE BY MAIL,GA,2
WARD 1,GA,96
MAYVIEW-VOTE BY MAIL,GA,37
SCOGGIN - VB MAIL,GA,90
Total,GA,965
WARD 4,GA,111
WARD 2,GA,173
PLEASANT-VB MAIL,GA,36
