Row Label,County,Terry M Tanner
Griffin,BE,4
215,BE,131
Ridge,BE,0
Kiona,BE,277
210,BE,144
Hedges,BE,160
Weidle,BE,35
Randy,BE,73
W2 - P641,BE,135
W2 - P640,BE,186
135,BE,149
165,BE,136
W1 - P685,BE,255
W1 - P686,BE,196
W1 - P680,BE,248
W1 - P681,BE,193
W1 - P682,BE,279
W1 - P683,BE,181
Columbia,BE,0
El Rancho,BE,280
Benton South,BE,189
W3 - P545,BE,115
French,BE,26
289,BE,292
288,BE,182
(none),BE,181
281,BE,257
280,BE,234
283,BE,150
220,BE,114
285,BE,299
284,BE,179
287,BE,133
286,BE,145
235,BE,117
Pearson,BE,3
Apricot,BE,53
Benton East,BE,0
McBee,BE,1
Candy,BE,5
455,BE,189
Reata,BE,166
W1 - P670,BE,184
W3-P511,BE,18
W1 - P675,BE,92
W1 - P674,BE,138
265,BE,168
W1 - P676,BE,284
Harrington,BE,231
W3 - P558,BE,272
W3 - P559,BE,260
Carley,BE,0
W3 - P552,BE,213
W3 - P553,BE,190
W3 - P550,BE,202
W3 - P551,BE,186
W3 - P556,BE,271
W3 - P557,BE,231
WR 11,BE,201
W3 - P555,BE,173
WR 17,BE,150
130,BE,162
WR 16,BE,144
Benton North,BE,261
292,BE,157
293,BE,113
290,BE,219
Badger,BE,150
Sacagawea,BE,1
Crow Butte,BE,23
195,BE,160
Washington,BE,74
311,BE,0
310,BE,207
Mills,BE,249
Rattlesnake,BE,39
Liberty,BE,9
Vineyard,BE,0
271,BE,97
W1 - P660,BE,188
W1 - P667,BE,105
W1 - P664,BE,320
W1 - P665,BE,262
278,BE,223
279,BE,82
W1 - P668,BE,318
W1 - P669,BE,134
175,BE,327
Susie,BE,17
Walnut Grove,BE,132
Kennewick Valley,BE,200
Yakima,BE,3
Hawthorne,BE,135
Expansion,BE,0
W3 - P560,BE,97
255,BE,177
Yellowstone,BE,108
Cook,BE,11
Celilo,BE,228
WR 10,BE,19
Orchard,BE,9
300,BE,195
301,BE,194
Jewel,BE,27
305,BE,175
W1 - P657,BE,166
W1 - P656,BE,107
W1 - P655,BE,126
Shockley,BE,4
240,BE,267
W1 - P651,BE,42
W1 - P650,BE,239
Ivey,BE,150
105,BE,141
245,BE,155
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,186
270,BE,212
Roe,BE,11
WR 1,BE,105
W2 - P633,BE,196
Cone,BE,128
W3 - P540,BE,198
160,BE,233
291,BE,243
282,BE,290
W2 - P635,BE,245
Elk,BE,0
125,BE,131
450,BE,242
Salmon,BE,34
Umatilla,BE,89
W1 - P645,BE,48
W1 - P646,BE,74
Gage,BE,5
Bobbie,BE,0
W2 - P639,BE,128
W2 - P601,BE,111
W2 - P600,BE,105
Riverside,BE,223
W2 - P605,BE,143
W1 - P691,BE,38
170,BE,154
W3 - P505,BE,146
Buena Vista,BE,326
W3 - P500,BE,38
Demoss,BE,10
Sunny,BE,45
316,BE,0
180,BE,103
W2 - P570,BE,179
186,BE,61
Dot,BE,107
W2 - P575,BE,84
185,BE,85
250,BE,196
Onion,BE,0
465,BE,207
Horse Heaven,BE,31
460,BE,170
190,BE,192
315,BE,317
Enterprise,BE,121
W2 - P590,BE,153
W2 - P610,BE,130
W2 - P595,BE,145
Prosser North,BE,201
W2 - P615,BE,59
115,BE,119
W3 - P515,BE,114
W3 - P510,BE,112
225,BE,168
W2 - P565,BE,93
Canyon,BE,192
295,BE,192
W2 - P560,BE,109
Roza,BE,0
Edgewater,BE,149
W2 - P625,BE,207
110,BE,158
151,BE,339
150,BE,237
Vista,BE,91
WR 4,BE,262
Legion,BE,175
Cherry,BE,227
Oak,BE,101
WR 9,BE,157
WR 8,BE,250
W1-P663,BE,165
Paterson,BE,13
WR 2,BE,128
WR 3,BE,108
W2 - P626,BE,124
W2 - P580,BE,124
W3 - P520,BE,82
WR 7,BE,241
Chandler,BE,27
W3 - P525,BE,116
W2 - P585,BE,103
W2-P574,BE,110
230,BE,137
WR12,BE,236
WR13,BE,157
WR14,BE,264
WR15,BE,181
WR 6,BE,240
320,BE,270
WR 5,BE,79
155,BE,274
W2 - P620,BE,139
White Bluffs,BE,262
200,BE,153
145,BE,242
205,BE,135
140,BE,140
275,BE,77
W3 - P535,BE,93
W2 - P630,BE,191
Goose Ridge,BE,44
W2 - P634,BE,258
Reese,BE,23
W2 - P636,BE,197
W2 - P637,BE,236
W2 - P638,BE,234
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,256
W3 - P530,BE,120
South,BE,148
Ida,BE,0
120,BE,192
Finley,BE,288
Tumble Weed,BE,34
Miller,BE,1
470,BE,162
260,BE,154
W3-P516,BE,11
Red Mountain,BE,176
Total,BE,34017
Clements,BE,37
