Row Label,County,Yes,No
BLUFFS 210,CM,173,131
PORT ANGELES 109,CM,367,377
PORT ANGELES 108,CM,154,155
BELLEVIEW 205,CM,319,211
CARLSBORG 214,CM,226,168
PORT ANGELES 103,CM,301,349
PORT ANGELES 102,CM,278,324
PORT ANGELES 101,CM,178,194
OLYMPIC 254,CM,216,175
PORT ANGELES 107,CM,313,327
PORT ANGELES 106,CM,244,240
PORT ANGELES 105,CM,258,312
PORT ANGELES 104,CM,209,221
AGNEW 201,CM,244,189
JAMESTOWN 240,CM,158,200
FRESHWATER BAY 233,CM,429,269
DUNGENESS EAST 222,CM,300,353
SUN 269,CM,121,42
CLARK 216,CM,114,81
MOUNT PLEASANT 251,CM,262,213
PORT WILLIAMS 258,CM,171,142
MILLER PENINSULA 246,CM,125,175
ELK 229,CM,77,55
FAIRVIEW 232,CM,308,262
OBRIEN 253,CM,270,174
HAPPY VALLEY 237,CM,178,116
EAGLE 226,CM,222,191
COYOTE 218,CM,285,299
BOGACHIEL 212,CM,136,44
ROBIN HILL 266,CM,223,193
PRAIRIE NORTH 259,CM,268,221
JOYCE 241,CM,394,233
NEAH BAY 252,CM,101,108
SEQUIM 406,CM,181,259
MADISON CREEK 248,CM,100,95
FORKS 301,CM,181,90
DEER PARK 220,CM,338,232
DIAMOND POINT 221,CM,260,269
BEAVER 204,CM,264,107
MONTERRA 249,CM,273,249
PORT ANGELES 110,CM,99,44
PORT ANGELES 111,CM,316,345
PORT ANGELES 112,CM,193,175
PORT ANGELES 113,CM,202,186
QUILEUTE 262,CM,92,83
CLINE 217,CM,225,312
FORKS 302,CM,276,130
BELL HILL 207,CM,249,297
PRAIRIE SOUTH 260,CM,288,226
MOUNT ANGELES 250,CM,153,185
SUNLAND NORTH 270,CM,204,360
BLYN 211,CM,256,206
DUNGENESS WEST 223,CM,128,162
BLUE MOUNTAIN 209,CM,310,247
MACLEAY 247,CM,271,249
SEQUIM 404,CM,342,367
SEQUIM 405,CM,189,249
SEQUIM 402,CM,144,134
SEQUIM 403,CM,238,282
DRY CREEK 224,CM,260,186
CLALLAM BAY 215,CM,175,90
LOST MOUNTAIN 245,CM,204,142
SEQUIM 401,CM,139,143
RIVERSIDE 265,CM,233,271
BLACK DIAMOND 208,CM,186,149
SUNLAND SOUTH 271,CM,178,174
ELWHA 230,CM,89,78
Total,CM,14858,13517
