Row Label,County,Lisa Worswick
31-900,PI,206
29-680,PI,265
31-902,PI,418
31-903,PI,3
31-904,PI,53
31-905,PI,269
31-906,PI,165
31-907,PI,252
31-908,PI,212
31-909,PI,241
29-640,PI,313
29-641,PI,325
29-642,PI,331
29-643,PI,27
29-648,PI,7
29-649,PI,98
25-239,PI,379
25-238,PI,218
31-901,PI,38
25-235,PI,14
25-237,PI,0
25-236,PI,305
25-230,PI,103
28-588,PI,353
28-589,PI,368
28-586,PI,342
28-587,PI,248
28-584,PI,251
28-585,PI,400
28-582,PI,148
28-583,PI,217
28-580,PI,57
28-581,PI,216
25-280,PI,407
25-281,PI,269
25-282,PI,389
02-149,PI,403
25-284,PI,196
25-285,PI,502
25-286,PI,359
25-287,PI,4
25-288,PI,396
25-289,PI,0
02-140,PI,386
02-141,PI,348
02-146,PI,273
02-147,PI,268
02-144,PI,320
02-145,PI,355
27-439,PI,315
27-438,PI,319
27-435,PI,384
27-434,PI,359
27-437,PI,330
27-436,PI,353
27-431,PI,160
27-430,PI,375
27-433,PI,359
27-432,PI,366
26-339,PI,64
26-338,PI,318
26-333,PI,398
26-332,PI,344
26-331,PI,112
26-330,PI,276
26-337,PI,424
26-336,PI,456
26-335,PI,337
26-334,PI,364
28-515,PI,427
28-517,PI,463
28-516,PI,422
28-519,PI,429
28-518,PI,438
31-869,PI,141
31-865,PI,83
31-861,PI,80
26-348,PI,402
26-349,PI,386
26-346,PI,326
26-347,PI,337
26-344,PI,52
26-345,PI,371
26-342,PI,450
26-343,PI,362
26-340,PI,443
26-341,PI,371
25-271,PI,364
25-270,PI,382
25-273,PI,254
25-272,PI,366
25-275,PI,0
25-274,PI,483
25-277,PI,379
25-276,PI,18
25-279,PI,324
25-278,PI,134
29-682,PI,318
29-683,PI,335
31-923,PI,178
29-619,PI,295
29-618,PI,260
29-617,PI,307
29-616,PI,302
29-615,PI,357
29-614,PI,346
29-613,PI,325
29-612,PI,162
29-611,PI,64
29-610,PI,308
28-559,PI,345
28-558,PI,331
28-551,PI,509
28-550,PI,302
28-553,PI,433
28-552,PI,456
28-555,PI,475
28-554,PI,404
28-557,PI,335
28-556,PI,336
02-115,PI,284
02-114,PI,176
02-117,PI,361
02-116,PI,362
02-111,PI,283
25-291,PI,86
02-113,PI,246
02-112,PI,202
02-143,PI,260
25-290,PI,30
02-119,PI,220
02-118,PI,229
31-823,PI,201
31-822,PI,234
31-827,PI,78
31-826,PI,317
31-825,PI,258
31-824,PI,0
31-829,PI,267
31-828,PI,279
26-302,PI,546
26-303,PI,479
26-301,PI,144
26-304,PI,559
26-305,PI,506
31-892,PI,193
31-893,PI,0
31-890,PI,170
27-471,PI,14
31-891,PI,95
27-475,PI,310
27-477,PI,340
27-476,PI,252
31-896,PI,4
31-897,PI,136
31-894,PI,41
31-895,PI,228
31-856,PI,227
31-857,PI,147
31-854,PI,149
31-855,PI,184
31-853,PI,53
31-919,PI,263
31-917,PI,371
31-916,PI,248
31-915,PI,52
31-914,PI,207
31-913,PI,109
31-912,PI,207
31-911,PI,158
31-910,PI,240
29-653,PI,306
29-652,PI,35
29-651,PI,373
29-650,PI,316
29-657,PI,6
29-656,PI,299
29-655,PI,136
29-654,PI,358
29-659,PI,188
29-658,PI,301
25-208,PI,441
25-209,PI,428
25-201,PI,446
25-202,PI,358
25-203,PI,425
25-204,PI,363
25-205,PI,406
25-206,PI,263
28-590,PI,13
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,4
29-622,PI,254
29-623,PI,71
29-620,PI,177
29-621,PI,1
02-159,PI,204
02-158,PI,285
02-151,PI,115
02-150,PI,296
02-153,PI,275
02-152,PI,345
02-155,PI,344
02-154,PI,265
02-157,PI,415
02-156,PI,426
27-408,PI,428
27-409,PI,410
27-401,PI,205
27-404,PI,132
27-405,PI,408
27-406,PI,513
27-407,PI,394
28-520,PI,441
28-521,PI,465
28-522,PI,450
28-523,PI,450
28-524,PI,483
28-525,PI,505
28-526,PI,327
28-527,PI,536
28-528,PI,447
28-529,PI,348
31-818,PI,82
31-819,PI,138
31-813,PI,154
31-810,PI,165
31-816,PI,270
31-817,PI,334
31-814,PI,40
31-815,PI,224
26-351,PI,383
26-350,PI,389
26-352,PI,379
31-926,PI,8
31-927,PI,233
31-924,PI,166
31-925,PI,86
25-248,PI,445
25-249,PI,391
31-920,PI,214
31-921,PI,225
25-244,PI,458
25-245,PI,2
25-246,PI,37
25-247,PI,350
25-240,PI,162
25-241,PI,204
25-242,PI,417
25-243,PI,310
02-110,PI,205
29-668,PI,247
29-669,PI,341
29-662,PI,0
29-663,PI,304
29-660,PI,382
29-661,PI,272
29-667,PI,351
29-664,PI,318
28-565,PI,330
28-566,PI,347
28-567,PI,380
28-560,PI,465
28-561,PI,268
28-562,PI,227
28-563,PI,124
28-568,PI,381
02-148,PI,363
02-120,PI,297
02-121,PI,355
02-122,PI,376
02-123,PI,370
02-124,PI,299
02-125,PI,273
02-126,PI,357
02-127,PI,217
02-128,PI,374
02-129,PI,213
02-142,PI,245
26-315,PI,432
26-317,PI,422
26-316,PI,474
26-319,PI,361
26-318,PI,353
27-448,PI,11
27-449,PI,360
27-444,PI,310
27-445,PI,298
27-446,PI,309
27-447,PI,334
27-440,PI,363
27-441,PI,306
27-442,PI,246
27-443,PI,263
31-845,PI,242
31-844,PI,181
31-847,PI,137
31-846,PI,117
31-841,PI,139
31-840,PI,124
31-843,PI,190
31-842,PI,240
31-849,PI,104
31-848,PI,42
25-217,PI,442
25-216,PI,267
25-215,PI,391
25-213,PI,461
25-212,PI,412
25-211,PI,380
25-210,PI,507
25-219,PI,417
25-218,PI,412
29-671,PI,283
29-670,PI,349
29-675,PI,350
29-677,PI,327
29-676,PI,323
29-635,PI,89
31-883,PI,348
29-637,PI,290
29-636,PI,385
29-633,PI,31
29-639,PI,294
29-638,PI,169
31-882,PI,262
28-538,PI,378
28-537,PI,452
28-536,PI,427
28-535,PI,463
28-531,PI,392
28-530,PI,200
30-713,PI,4
31-809,PI,277
31-808,PI,267
31-801,PI,194
31-803,PI,313
31-802,PI,275
31-805,PI,302
31-804,PI,278
31-807,PI,2
31-806,PI,340
25-293,PI,356
27-417,PI,413
27-416,PI,410
27-415,PI,446
27-414,PI,421
27-413,PI,400
27-412,PI,381
27-411,PI,457
27-410,PI,416
31-898,PI,297
31-899,PI,176
27-419,PI,388
27-418,PI,372
25-292,PI,394
25-259,PI,376
25-258,PI,387
25-253,PI,236
