Row Label,County,Marie Eggart
CLARKSTON #2,AS,194
SWALLOWS NEST,AS,352
WEST CLARKSTON #1,AS,243
WEST CLARKSTON #2,AS,231
WEST CLARKSTON #3,AS,268
ASOTIN #1,AS,186
ASOTIN #2,AS,183
SOUTH CLARKSTON #1,AS,219
SOUTH CLARKSTON #2,AS,279
W ASOTIN,AS,151
CLARKSTON #6,AS,211
CLARKSTON #7,AS,128
RURAL ASOTIN,AS,135
CLARKSTON #4,AS,206
Total,AS,5985
ANATONE,AS,115
CLARKSTON #3,AS,180
CLARKSTON HTS #4,AS,257
CLARKSTON #8,AS,180
CLARKSTON HTS #3,AS,101
CLARKSTON HTS #2,AS,456
CLARKSTON HTS #1,AS,269
CLARKSTON #5,AS,125
CLARKSTON HTS #7,AS,311
CLARKSTON HTS #6,AS,405
CLARKSTON HTS #5,AS,451
CLARKSTON #1,AS,149
