Row Label,County,Susan Fagan
Washtucna City #1,AD,84
Batum,AD,66
Othello Rural #1,AD,67
Hatton Rural,AD,26
Ralston,AD,23
Hatton City,AD,15
Othello Rural #6,AD,137
Othello Rural #4,AD,125
Othello Rural #5,AD,78
Ritzville Rural NW,AD,121
Fairview,AD,25
Benge,AD,20
Ritzville Rural SE,AD,101
Ritzville Ward #5,AD,114
Ritzville Ward #4,AD,101
Ritzville Ward #1,AD,78
Ritzville Ward #3,AD,131
Ritzville Ward #2,AD,71
Schrag,AD,27
Cunningham,AD,6
Othello Rural #2,AD,85
Othello Rural #3,AD,179
Othello City #2,AD,150
Othello City #3,AD,129
Othello City #1,AD,17
Othello City #6,AD,96
Othello City #4,AD,158
Othello City #5,AD,149
Lind #1,AD,143
Washtucna Rural,AD,57
Lind Rural,AD,55
Total,AD,2634
