Row Label,County,Essie Hicks,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jay Rodne
B-D 05-0239,KI,78,560,13,284,0,0,193
SWEENEY,KI,122,575,27,341,0,1,191
M-V 05-2841,KI,65,385,8,188,0,0,115
NOVELTY,KI,171,605,23,336,0,0,142
DORRE DON,KI,156,793,30,477,0,0,291
KEN 05-3462,KI,0,0,0,0,0,0,0
CAR 05-3290,KI,122,515,36,309,0,1,150
CHALLENGER,KI,73,293,14,185,0,0,98
SQUAK MOUNTAIN,KI,41,188,6,115,0,0,68
ISS 05-3206,KI,228,758,30,419,0,1,160
MARGERY,KI,181,762,32,360,0,1,146
N-B 05-2683,KI,121,706,24,351,0,4,202
TOLT,KI,62,317,17,188,0,0,109
TWIN PEAKS,KI,162,700,23,401,0,1,215
MAY VALLEY,KI,85,492,15,246,0,0,146
ISS 05-0543,KI,171,622,24,314,0,0,119
BITTERROOT,KI,90,483,12,262,0,1,159
CUMBERLAND,KI,41,345,17,195,0,2,135
ISS 05-0545,KI,81,316,16,172,0,1,74
ISS 05-0544,KI,150,647,26,295,0,0,119
ISS 05-3572,KI,173,855,30,331,0,1,127
SNQ 05-1097,KI,79,402,12,177,0,0,86
ISS 05-0548,KI,201,772,36,398,0,0,161
ARTHUR,KI,171,863,21,510,0,3,315
DANIEL,KI,122,574,30,323,0,2,169
ISS 05-2806,KI,138,399,23,243,0,0,82
HAAS,KI,91,303,12,199,0,0,96
WOLF,KI,120,690,25,308,0,0,163
B-D 05-0240,KI,74,419,15,207,0,0,118
M-V 05-3322,KI,82,382,16,189,0,0,91
THRUSH,KI,75,275,4,144,0,1,64
RIVERBEND,KI,137,762,31,345,0,1,176
SHADOW LAKE,KI,117,610,18,334,0,0,199
ISS 05-3649,KI,84,404,14,188,0,0,90
GRIZZLY,KI,136,653,24,353,0,0,193
LAKE JOY,KI,203,845,42,478,0,0,233
HORSESHOE,KI,124,490,18,289,0,2,145
BACUS,KI,142,443,15,271,0,1,113
RENHILL,KI,86,406,24,204,0,0,94
B-D 05-2413,KI,107,466,24,284,0,1,152
MOUNT SI,KI,73,274,14,166,0,1,78
BARCLAY,KI,75,295,13,162,0,1,73
ISS 05-0550,KI,81,300,12,172,0,1,78
SELLECK,KI,127,784,33,420,0,0,260
M-V 05-1218,KI,125,674,20,378,0,0,233
MIDDLE FORK,KI,74,383,15,214,0,1,124
DIANE,KI,0,0,0,0,0,0,0
MIRRORMONT,KI,101,446,17,243,0,0,125
DIPPER,KI,162,675,20,346,0,1,163
BRIARWOOD,KI,112,582,21,293,0,0,160
N-B 05-3407,KI,128,628,25,381,0,0,228
M-V 05-3482,KI,156,870,25,441,0,0,260
ISS 05-3651,KI,91,396,14,170,0,0,65
SI VIEW,KI,102,433,15,259,0,0,142
ISS 05-2461,KI,188,572,21,364,0,1,154
SEAN,KI,146,690,43,367,0,1,177
SNQ 05-3558,KI,98,487,13,236,0,0,125
B-D 05-2407,KI,137,838,25,447,0,0,285
M-V 05-3536,KI,94,572,21,275,0,0,160
RAVENSDALE,KI,80,497,24,252,0,0,148
ISS 05-3559,KI,231,907,45,529,0,1,252
MEADOWBROOK,KI,84,300,3,173,0,0,86
PRESTON,KI,154,661,24,383,0,1,204
M-V 05-3601,KI,98,496,27,239,0,2,112
ISS 05-3552,KI,164,742,33,308,0,0,111
ALDARRA,KI,162,711,39,434,0,1,232
LYNX,KI,113,531,5,276,0,0,158
M-V 05-3589,KI,115,725,19,343,0,1,208
TIGER MTN,KI,217,742,25,447,3,0,202
N-B 05-3296,KI,136,682,32,392,0,0,224
LAKE ALICE,KI,118,519,26,295,0,1,150
LUND,KI,118,740,34,409,0,0,257
ISS 05-0547,KI,102,327,11,191,0,0,78
M-V 05-2614,KI,149,831,25,422,0,2,246
ISS 05-0546,KI,66,220,5,121,0,0,50
COUNTRYSIDE,KI,131,667,21,280,0,0,128
RAGING RIVER,KI,124,505,19,268,0,1,124
TANNER,KI,120,695,31,343,0,0,192
SNQ 05-3409,KI,116,787,27,399,0,0,256
HI-VALLEY,KI,206,829,39,542,0,0,297
N-B 05-3406,KI,67,309,16,136,0,1,52
CEDAR RIVER,KI,79,481,23,259,0,0,157
MAPLE HILLS,KI,147,719,23,391,0,0,221
COALFIELD,KI,164,713,28,396,0,0,204
M-V 05-0697,KI,129,673,35,385,0,0,221
M-V 05-2748,KI,144,806,27,347,0,1,175
B-D 05-3463,KI,0,0,0,0,0,0,0
CROW,KI,63,389,21,197,0,1,112
RATTLESNAKE,KI,81,605,29,333,0,2,221
SNO-VALLEY,KI,147,760,18,408,0,0,243
ISS 05-3634,KI,76,422,15,190,0,1,98
RIVERSIDE,KI,75,396,14,220,0,1,130
