Row Label,County,Sharon D. Richter
ALTO,CU,50
TOUCHET,CU,144
STARBUCK COUNTRY,CU,21
STAR,CU,93
MUSTARD,CU,151
DAYTON,CU,181
PING,CU,159
BROOKLYN,CU,165
TUCANNON,CU,56
STARBUCK CITY,CU,64
COLUMBIA,CU,231
RAINWATER,CU,126
Total,CU,1574
PATIT,CU,133
