Row Label,County,Shelly Short,James R. Apker
PCT 7023,SP,281,76
PCT 7024,SP,499,109
PCT 7025,SP,353,77
PCT 7026,SP,388,85
PCT 7027,SP,296,67
PCT 7028,SP,535,105
PCT 7029,SP,306,113
PCT 7008,SP,461,126
PCT 7009,SP,509,143
PCT 7006,SP,372,129
PCT 7007,SP,305,136
PCT 7004,SP,400,108
PCT 7005,SP,532,177
PCT 7002,SP,298,65
PCT 7003,SP,405,103
PCT 7000,SP,529,151
PCT 7001,SP,293,89
PCT 7033,SP,220,75
PCT 7301,SP,253,82
PCT 7300,SP,325,83
PCT 7302,SP,237,93
PCT 7011,SP,252,56
PCT 7010,SP,291,93
PCT 7013,SP,375,68
PCT 7012,SP,364,93
PCT 7015,SP,370,69
PCT 7014,SP,341,97
PCT 7017,SP,401,77
PCT 7016,SP,490,108
PCT 7019,SP,368,60
PCT 7018,SP,461,86
PCT 7031,SP,343,79
PCT 7030,SP,403,81
PCT 7036,SP,261,56
PCT 7035,SP,210,85
PCT 7034,SP,204,66
PCT 7020,SP,417,77
PCT 7021,SP,221,63
Total,SP,14210,3690
PCT 7032,SP,349,102
PCT 7022,SP,292,82
