Row Label,County,Linda Enlow,Yvonne L. Pettus
Olympia 42,TH,103,71
Olympia 41,TH,151,124
Olympia 40,TH,123,108
Olympia 47,TH,157,145
Olympia 46,TH,127,106
Olympia 45,TH,90,69
Olympia 44,TH,63,65
Holmes,TH,126,105
Cooper Point,TH,144,126
Ruth Prairie,TH,66,54
Hawks Ridge,TH,58,51
Weir Prairie,TH,150,100
Wilderness,TH,189,172
Lacey 32,TH,159,95
Camelot,TH,94,75
University South,TH,80,64
Simmons 9(*),TH,0,0
Gallagher Cove,TH,220,193
Lacey 17,TH,135,89
Total,TH,34933,27913
College,TH,18,22
Bigelow,TH,140,109
Lacey 37,TH,44,33
Olympia 08,TH,121,126
Beaver Creek,TH,266,196
Oyster Bay,TH,157,140
Eaton Creek,TH,81,83
Lacey 28,TH,79,81
Olympia 25,TH,75,123
Four Corners,TH,240,147
South Bay,TH,186,144
Lacey 24,TH,192,127
Indian Summer,TH,162,144
Longmire,TH,95,69
Tumwater 24,TH,110,76
Clear Lake,TH,241,142
Airport,TH,13,12
Thompson,TH,98,66
Bucoda,TH,76,40
Glen Terra,TH,57,27
Frye Cove,TH,160,136
Cougar Mountain,TH,32,32
Mckinley,TH,53,41
Olympia 37,TH,101,78
Gibson Valley,TH,20,9
Olympia 35,TH,235,245
Black Lake,TH,185,152
Scheller,TH,79,52
Olympia 30,TH,117,119
Olympia 31,TH,86,131
Sunwood Lakes,TH,219,180
Lydia Hawk,TH,243,184
Lacey 23,TH,65,44
Olympia 32,TH,188,136
Michigan Hill,TH,80,64
Tumwater 09,TH,102,70
Yelm 4,TH,162,120
Lacey 48,TH,96,71
Zangle,TH,154,120
Fish Trap,TH,132,86
East Olympia,TH,136,109
Munn Lake,TH,90,69
Sunset Beach,TH,177,158
Olympia 27,TH,79,45
Lacey 43,TH,166,114
Lacey 40,TH,179,121
Fristoe,TH,92,77
Lacey 46,TH,275,287
Lacey 47,TH,192,237
Lacey 44,TH,57,47
Hicks,TH,28,16
Salmon Creek,TH,94,76
Lacey 49,TH,67,83
Wards,TH,66,59
South Union,TH,174,167
Boston Harbor,TH,215,123
Olympia 29,TH,132,168
Olympia 28,TH,141,127
Trails End,TH,268,200
Hartwood,TH,224,203
Waddell Creek,TH,115,105
Fleetwood,TH,179,160
Olympia 26,TH,134,117
Olympia 21,TH,207,171
Bald Hills,TH,42,43
Olympia 23,TH,168,138
Violet Prairie,TH,190,107
Lacey 20,TH,57,41
Hawk Acres,TH,100,82
Tumwater 27,TH,151,108
Lacey 21,TH,77,55
Lakeside,TH,85,59
Lacey 22,TH,94,70
Olympia 36,TH,57,41
Glenwood,TH,52,51
Simmons 2(*),TH,0,0
Chambers,TH,227,194
Nisqually,TH,131,72
Rich(*),TH,0,0
