Row Label,County,Yes,No
Montesano 601,GY,352,376
Riviera 050,GY,12,32
Aberdeen 111,GY,308,266
Hoquiam 421,GY,164,125
Satsop 052,GY,44,132
Aberdeen 132,GY,0,0
Lois Lane 082,GY,57,61
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,40,59
Johns River 094,GY,130,158
Melbourne 072,GY,113,210
Bush 058,GY,207,376
Aberdeen 121,GY,255,263
Geissler 036,GY,16,33
Coats Landing 034,GY,100,170
Hoquiam 441,GY,210,179
Grayland 096,GY,156,154
Hoquiam 461,GY,148,143
Blockhouse 068,GY,110,205
Boundary 044,GY,12,43
Stover 026(*),GY,0,0
Humptulips 018,GY,19,35
Chehalis 066,GY,4,3
Elma 302,GY,217,283
Cohasset 098,GY,86,110
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,9,26
Quinault 004,GY,73,89
Porter 062,GY,63,156
Delezenne 070,GY,117,251
Pacific Beach 008,GY,118,102
Aberdeen 131,GY,380,307
Westport 901,GY,284,288
Elma 301,GY,101,125
Axford 020,GY,32,88
Brady 048,GY,168,318
Dekay 022,GY,23,61
Ocean City 012,GY,141,134
Moclips 010,GY,11,10
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,285,273
Cedar Creek 064,GY,24,95
Ocean Shores 801,GY,332,293
Ocean Shores 802,GY,496,403
Ocean Shores 803,GY,441,324
Aberdeen 141,GY,338,218
Calder 056,GY,89,181
Lund 088,GY,34,40
Taholah 002,GY,120,55
Aberdeen 142,GY,249,190
Devonshire 074,GY,123,145
Reynvaan 040,GY,65,66
Hoquiam 411,GY,212,159
Aberdeen 161,GY,279,239
Wilderness 016,GY,30,81
Hoquiam 451,GY,152,176
Hoquiam 431,GY,206,164
Blue Slough 084,GY,89,108
Black Creek 046,GY,169,342
Hoquiam Rural 024,GY,132,183
Wishkah 030,GY,78,207
North Wishkah 028(*),GY,0,0
McCleary Rural 060,GY,149,282
Oakville 701,GY,44,126
Vesta 076,GY,18,56
Artic 078,GY,14,49
Wynoochee 042,GY,2,4
Montesano 602,GY,318,370
Aberdeen 151,GY,168,169
Central Park 080,GY,300,310
Newskah 090,GY,7,10
McCleary 501,GY,176,250
Neilton 006,GY,26,56
Total,GY,9467,11049
