Row Label,County,Kalo Wilcox
Summit Lake,TH,181
Lacey 19,TH,134
Lacey 18,TH,228
Simmons 9,TH,5
Lacey 11,TH,203
Simmons 4,TH,10
Lacey 13,TH,104
Lacey 01,TH,83
Lacey 15,TH,186
Gull Harbor,TH,140
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,94
Black River,TH,309
Forest,TH,311
Olympia 24,TH,189
Quince,TH,4
Meadows,TH,171
Pattison,TH,226
Olympia 54,TH,123
Olympia 55,TH,113
Olympia 56,TH,193
Olympia 57,TH,95
Tykle Cove,TH,207
Mcallister Creek,TH,194
Olympia 52,TH,105
Mcintosh,TH,360
Tenino 02,TH,137
Olympia 39,TH,194
Steamboat Island,TH,177
Olympia 20,TH,95
Lacey 08,TH,125
Lacey 41,TH,189
Delta,TH,0
Ames,TH,181
Jones Beach,TH,125
Pleasant Glade,TH,134
Lacey 35,TH,74
Evergreen Shores,TH,182
Hewitt Lake,TH,276
Tumwater 08,TH,227
Olympia 60,TH,133
Tumwater 06,TH,340
Tumwater 07,TH,162
Tumwater 04,TH,141
Beach Crest,TH,172
Tumwater 02,TH,196
Tumwater 03,TH,241
Roosevelt,TH,253
Tumwater 01,TH,157
University North,TH,85
Olympia 49,TH,199
Olympia 48,TH,244
Bush Prairie,TH,54
Olympia 43,TH,214
Olympia 42,TH,124
Olympia 41,TH,176
Olympia 40,TH,163
Olympia 47,TH,240
Olympia 46,TH,195
Olympia 45,TH,127
Olympia 44,TH,99
Holmes,TH,188
Cooper Point,TH,203
Ruth Prairie,TH,103
Hawks Ridge,TH,103
Weir Prairie,TH,209
Wilderness,TH,292
Lacey 32,TH,220
Camelot,TH,142
University South,TH,121
Lacey 24,TH,282
Gallagher Cove,TH,322
Lacey 17,TH,201
Total,TH,50624
College,TH,35
Bigelow,TH,182
Lacey 37,TH,66
Olympia 08,TH,184
Beaver Creek,TH,388
Oyster Bay,TH,226
Eaton Creek,TH,131
Lacey 28,TH,112
Olympia 25,TH,154
Four Corners,TH,308
South Bay,TH,258
Indian Summer,TH,256
Longmire,TH,152
Tumwater 24,TH,147
Olympia 59,TH,178
Clear Lake,TH,336
Airport,TH,20
Thompson,TH,145
Bucoda,TH,97
Glen Terra,TH,74
Frye Cove,TH,227
