Row Label,County,"Nathaniel B. Green, Jr.",Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
COV 47-1153,KI,183,626,99,284,0,2
ROYAL,KI,83,320,80,163,0,0
RNT 41-0989,KI,134,693,133,270,0,3
AUB 47-3187,KI,96,432,105,201,0,0
KEN 33-0603,KI,191,649,155,347,0,1
KELLY,KI,111,375,78,189,0,0
KEN 47-0238,KI,209,723,135,349,0,5
B-D 05-2413,KI,131,466,151,284,0,2
KEN 11-0918,KI,167,605,88,257,0,2
CUMBERLAND,KI,105,345,84,195,0,6
LAKE YOUNGS,KI,205,669,178,390,0,7
COV 47-3244,KI,131,466,68,204,0,5
ARTHUR,KI,251,863,256,510,0,3
DANIEL,KI,167,574,149,323,0,7
RNT 11-3555,KI,123,477,95,219,0,1
CANDLEWOOD,KI,61,412,58,120,0,1
AUB 47-3591,KI,128,445,77,206,0,1
KEN 11-3663,KI,142,387,82,225,0,1
RNT 11-3588,KI,75,481,43,120,0,2
AUB 47-3455,KI,127,439,101,229,0,1
AUB 47-3324,KI,221,577,139,360,0,0
AUB 31-0082,KI,115,403,86,203,0,2
AUB 31-0083,KI,128,487,100,229,0,1
AUB 31-0080,KI,247,830,163,414,0,4
AUB 31-0081,KI,122,457,76,199,0,1
FALCON,KI,133,456,151,288,0,4
RNT 11-0978,KI,137,506,86,223,0,0
RNT 11-0979,KI,61,284,39,100,0,0
RNT 11-0975,KI,195,861,140,339,0,4
M-V 05-3482,KI,247,870,193,441,0,1
RNT 11-0970,KI,54,246,54,108,0,0
RNT 11-0971,KI,151,579,139,291,0,1
RNT 11-0973,KI,151,542,92,245,0,2
HONEY,KI,31,102,26,57,0,0
KEN 33-3332,KI,227,863,206,437,0,4
KEN 47-0798,KI,223,742,171,394,0,0
BRIGID,KI,102,320,65,168,0,1
KEN 33-3445,KI,114,375,74,188,0,0
KEN 33-2426,KI,168,550,129,298,0,1
B-D 05-2407,KI,236,838,211,447,0,0
LYNN,KI,127,433,86,214,0,1
ALG 30-0013,KI,99,467,52,153,0,2
RUSS,KI,3,24,8,11,0,0
RNT 11-1015,KI,96,443,97,194,0,1
RNT 11-1011,KI,215,881,171,391,0,5
KEN 47-3275,KI,176,854,112,288,0,0
LOIS,KI,126,566,106,237,0,5
LUND,KI,216,740,191,409,0,2
RIVERSIDE,KI,98,396,121,220,0,1
LEAH,KI,177,661,140,319,0,2
AUB 31-0069,KI,99,314,60,159,0,0
WABASH,KI,100,320,89,189,0,0
AUB 31-0062,KI,204,660,126,332,0,2
AUB 31-0063,KI,86,279,43,130,0,1
