Row Label,County,Yes,No
31-823,PI,188,125
31-822,PI,214,127
31-827,PI,72,54
31-826,PI,312,152
31-825,PI,273,147
31-829,PI,234,139
31-828,PI,296,115
31-902,PI,413,205
31-904,PI,24,25
31-905,PI,240,169
31-906,PI,131,105
31-907,PI,209,147
31-908,PI,193,100
31-909,PI,204,112
30-709,PI,225,166
27-471,PI,11,7
31-807(*),PI,0,0
31-919,PI,209,169
31-917,PI,310,253
31-916,PI,194,184
31-915,PI,43,31
31-914,PI,180,114
31-913,PI,101,85
31-912,PI,154,125
31-911,PI,136,103
31-910,PI,238,120
31-845,PI,225,135
31-844,PI,163,129
31-847,PI,128,75
31-846,PI,104,57
31-841,PI,145,81
31-840,PI,125,80
31-843,PI,179,125
31-842,PI,224,169
31-849,PI,90,56
31-848,PI,41,36
31-833,PI,253,174
31-873,PI,25,10
31-874,PI,0,0
31-875,PI,273,286
31-876,PI,10,15
31-877,PI,112,117
31-879,PI,69,41
25-237(*),PI,0,0
25-291,PI,66,51
25-290,PI,32,23
31-810,PI,158,124
31-824(*),PI,0,0
31-927,PI,216,170
02-154(*),PI,0,0
31-809,PI,224,225
31-808,PI,230,219
31-924,PI,113,162
31-923,PI,135,182
31-920,PI,178,129
31-921,PI,6,8
31-801,PI,142,156
31-803,PI,226,207
31-802,PI,205,243
31-805,PI,248,190
31-804,PI,242,228
31-806,PI,277,287
31-818(*),PI,0,0
31-892,PI,182,104
31-890,PI,155,100
30-708,PI,213,172
31-896,PI,3,4
31-897,PI,125,99
31-894,PI,37,26
31-895,PI,192,170
31-898,PI,254,228
30-707,PI,130,103
30-706,PI,196,203
30-705,PI,133,128
31-834,PI,229,147
31-835,PI,352,301
31-836,PI,263,180
31-837,PI,193,164
31-830,PI,111,66
31-893(*),PI,0,0
31-838,PI,170,155
31-839,PI,29,10
31-881,PI,140,153
31-880,PI,94,66
31-883,PI,320,258
31-882,PI,232,231
31-885,PI,103,74
31-884,PI,259,282
31-887,PI,191,174
31-886,PI,239,198
31-888,PI,189,149
Total,PI,14408,11219
