Row Label,County,Vincent Buys,Joy Monjure
216,WM,106,385
217,WM,206,159
214,WM,101,327
215,WM,103,405
212,WM,117,115
213,WM,213,428
210,WM,90,482
211,WM,222,232
106    ,WM,235,165
218,WM,134,215
219,WM,162,263
133,WM,107,241
132,WM,230,158
131,WM,369,203
130,WM,204,93
137,WM,86,266
135,WM,194,238
139,WM,238,25
138,WM,135,367
604    ,WM,442,57
606    ,WM,446,87
610    ,WM,531,88
401,WM,205,88
220,WM,173,188
124    ,WM,217,85
145    ,WM,453,179
120,WM,334,123
121,WM,218,107
122,WM,208,98
123,WM,201,101
125,WM,378,84
127,WM,404,236
129,WM,327,164
268,WM,13,8
166    ,WM,248,296
201    ,WM,349,349
304    ,WM,96,95
111    ,WM,305,153
607    ,WM,420,64
701,WM,336,111
115,WM,390,118
114,WM,176,87
117,WM,367,40
116,WM,270,44
110,WM,280,125
113,WM,310,121
112,WM,158,88
142,WM,197,168
118,WM,465,91
209,WM,137,374
146    ,WM,465,161
156    ,WM,136,88
301,WM,333,241
302,WM,275,301
303,WM,350,212
611    ,WM,360,45
108,WM,345,240
102,WM,220,136
103,WM,248,226
101,WM,156,297
107,WM,323,230
104,WM,183,118
105,WM,119,128
605,WM,265,54
141    ,WM,443,155
140    ,WM,618,102
601,WM,603,124
507    ,WM,256,140
603,WM,359,92
609    ,WM,543,89
504,WM,171,92
505,WM,299,250
502,WM,243,162
503,WM,335,185
501,WM,298,155
508    ,WM,292,214
183    ,WM,9,11
229,WM,149,309
227,WM,94,413
225,WM,94,360
224,WM,29,138
223,WM,39,283
222,WM,144,536
221,WM,267,220
167    ,WM,57,37
126    ,WM,383,230
608    ,WM,377,94
158    ,WM,143,91
509    ,WM,235,103
151,WM,390,207
150,WM,397,162
153,WM,312,171
152,WM,284,182
155,WM,243,105
157,WM,130,107
602,WM,475,117
144    ,WM,571,61
234,WM,225,303
233,WM,180,286
154    ,WM,191,154
136    ,WM,194,238
165    ,WM,159,101
147,WM,326,163
203,WM,257,244
202,WM,146,188
205,WM,135,190
204,WM,94,113
207,WM,105,220
206,WM,164,326
119    ,WM,139,112
208,WM,195,495
148,WM,285,186
149,WM,283,111
143    ,WM,141,174
402    ,WM,264,127
506    ,WM,260,209
267    ,WM,10,37
134    ,WM,275,362
801,WM,256,91
Total,WM,29650,21388
