Row Label,County,Yes,No
Washtucna City #1,AD,66,34
Batum,AD,54,32
Othello Rural #1,AD,42,36
Hatton Rural,AD,30,3
Ralston,AD,27,12
Hatton City,AD,8,6
Othello Rural #6,AD,111,67
Othello Rural #4,AD,93,61
Othello Rural #5,AD,70,27
Ritzville Rural NW,AD,97,55
Fairview,AD,15,14
Benge,AD,20,5
Ritzville Rural SE,AD,96,45
Ritzville Ward #5,AD,66,73
Ritzville Ward #4,AD,91,50
Ritzville Ward #1,AD,46,53
Ritzville Ward #3,AD,99,64
Ritzville Ward #2,AD,62,36
Schrag,AD,24,13
Cunningham,AD,6,4
Othello Rural #2,AD,65,48
Othello Rural #3,AD,130,84
Othello City #2,AD,91,95
Othello City #3,AD,103,75
Othello City #1,AD,14,7
Othello City #6,AD,65,44
Othello City #4,AD,93,106
Othello City #5,AD,102,78
Lind #1,AD,132,58
Washtucna Rural,AD,46,18
Lind Rural,AD,39,33
Total,AD,2003,1336
