Row Label,County,Greg Baruso,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Linda Kochmar
FED 30-3372,KI,88,450,11,227,0,0,128
DENVER,KI,114,588,17,229,0,0,98
TROUT LAKE,KI,121,719,13,352,0,1,217
PAC 30-0887,KI,159,796,19,332,0,0,154
PAC 30-0886,KI,109,668,13,287,0,0,165
DES 30-1227,KI,151,635,33,378,0,0,194
FED 30-3034,KI,76,359,2,171,0,0,93
FED 30-3035,KI,56,265,3,128,0,0,69
FED 30-3036,KI,80,342,5,148,0,0,63
FED 30-3037,KI,80,359,9,191,0,0,102
FED 30-3030,KI,71,361,12,175,0,0,92
FED 30-3031,KI,117,542,12,273,0,0,144
FED 30-3032,KI,59,267,7,131,0,0,65
FED 30-3033,KI,91,408,4,201,0,0,106
FED 30-3238,KI,67,359,6,148,0,0,75
FED 30-3038,KI,54,198,7,115,0,0,54
FED 30-3039,KI,83,331,5,186,0,0,98
BINGAMAN,KI,119,565,13,313,0,0,181
PAC 30-2856,KI,108,686,10,230,0,0,112
AUB 30-0067,KI,80,430,12,164,0,0,72
FED 30-3080,KI,91,499,11,172,0,0,70
FED 30-3085,KI,118,416,16,257,1,0,122
FED 30-3087,KI,96,508,14,259,0,1,148
FED 30-3086,KI,102,526,14,279,0,0,163
PAC 30-0885,KI,123,762,19,342,0,0,200
FED 30-3088,KI,106,538,11,263,0,2,144
AUB 30-3477,KI,26,203,3,65,0,0,36
AUB 30-3476,KI,43,264,3,86,0,0,40
FED 30-3008,KI,91,365,8,163,0,2,62
FED 30-3001,KI,148,622,18,357,0,1,190
FED 30-3000,KI,85,479,7,197,0,0,105
FED 30-3003,KI,93,563,12,270,0,1,164
FED 30-3002,KI,153,690,17,314,0,0,144
FED 30-3005,KI,78,298,10,201,0,2,111
FED 30-3004,KI,93,442,9,188,0,1,85
FED 30-3007,KI,43,242,2,144,0,1,98
FED 30-3006,KI,94,466,9,207,0,0,104
FED 30-3574,KI,47,353,8,117,0,0,62
STAR LAKE,KI,88,325,13,182,0,0,81
ILLAHEE,KI,102,328,15,222,0,0,105
DES 30-0954,KI,197,745,21,415,0,0,197
FED 30-3096,KI,107,550,24,249,0,0,118
FED 30-3097,KI,188,720,25,429,0,0,216
FED 30-3094,KI,117,595,15,277,0,1,144
FED 30-3095,KI,82,501,6,173,0,0,85
FED 30-3092,KI,136,631,2,213,0,0,75
