Row Label,County,Stacie Prada Hoskins
601 Queets,JE,25
704 Port Townsend,JE,176
101 Gardiner,JE,116
501 Port Ludlow I,JE,408
200 Coyle,JE,161
708 Port Townsend,JE,455
302 Center I,JE,184
702 Port Townsend,JE,203
306 Irondale II,JE,332
300 Chimacum I,JE,213
102 Port Discovery,JE,135
105 Discovery Bay,JE,330
305 Irondale I,JE,251
710 Port Townsend,JE,264
500 Port Ludlow,JE,342
106 North Jacob,JE,255
503 Port Ludlow III,JE,224
301 Chimacum II,JE,135
706 Port Townsend,JE,528
401 Nordland,JE,320
502 Port Ludlow II,JE,245
505 Port Ludlow V,JE,286
709 Port Townsend,JE,437
303 Hadlock,JE,327
304 Kala Point,JE,365
107 South Jacob,JE,348
201 Quilcene,JE,333
308 Center II,JE,119
705 Port Townsend,JE,218
204 Brinnon,JE,371
707 Port Townsend,JE,439
104 Cape George,JE,358
103 Crocker,JE,113
600 Hoh,JE,27
703 Port Townsend,JE,244
700 Port Townsend,JE,339
504 Port Ludlow IV,JE,172
Total,JE,10183
701 Port Townsend,JE,163
307 Four Corners,JE,222
