Row Label,County,Alan Botzheim
Usk,PE,157
Diamond Lk East,PE,93
Sacheen,PE,185
Diamond Lk,PE,296
Diamond Lk West,PE,143
Noble,PE,252
Furport,PE,208
Deer Valley South,PE,59
Cusick,PE,107
Ione East,PE,157
Kalispel Leclerc,PE,137
Tiger Dry Canyon,PE,268
Ruby,PE,23
Ione West,PE,180
Newport NE,PE,202
Metaline,PE,93
Newport SE,PE,98
Skookum,PE,52
Newport NW,PE,199
Newport SW,PE,157
Dalkena,PE,234
Deer Valley North,PE,169
Locke,PE,37
Fertile Valley South,PE,122
Fertile Valley North,PE,132
Camden,PE,123
Total,PE,4048
Metaline Falls,PE,165
