Row Label,County,Mary E. Fairhurst
BLUFFS 210,CM,174
PORT ANGELES 109,CM,450
PORT ANGELES 108,CM,194
BELLEVIEW 205,CM,341
CARLSBORG 214,CM,233
PORT ANGELES 103,CM,388
PORT ANGELES 102,CM,377
PORT ANGELES 101,CM,228
OLYMPIC 254,CM,205
PORT ANGELES 107,CM,387
PORT ANGELES 106,CM,283
PORT ANGELES 105,CM,354
PORT ANGELES 104,CM,271
AGNEW 201,CM,263
JAMESTOWN 240,CM,203
FRESHWATER BAY 233,CM,370
DUNGENESS EAST 222,CM,351
SUN 269,CM,94
CLARK 216,CM,122
MOUNT PLEASANT 251,CM,279
PORT WILLIAMS 258,CM,184
MILLER PENINSULA 246,CM,162
ELK 229,CM,71
FAIRVIEW 232,CM,310
OBRIEN 253,CM,249
HAPPY VALLEY 237,CM,160
EAGLE 226,CM,245
COYOTE 218,CM,349
BOGACHIEL 212,CM,93
ROBIN HILL 266,CM,228
PRAIRIE NORTH 259,CM,250
JOYCE 241,CM,325
NEAH BAY 252,CM,156
SEQUIM 406,CM,267
MADISON CREEK 248,CM,108
FORKS 301,CM,150
DEER PARK 220,CM,327
DIAMOND POINT 221,CM,326
BEAVER 204,CM,181
MONTERRA 249,CM,293
PORT ANGELES 110,CM,103
PORT ANGELES 111,CM,410
PORT ANGELES 112,CM,228
PORT ANGELES 113,CM,230
QUILEUTE 262,CM,101
CLINE 217,CM,310
FORKS 302,CM,219
BELL HILL 207,CM,303
PRAIRIE SOUTH 260,CM,305
MOUNT ANGELES 250,CM,171
SUNLAND NORTH 270,CM,326
BLYN 211,CM,247
DUNGENESS WEST 223,CM,152
BLUE MOUNTAIN 209,CM,290
MACLEAY 247,CM,283
SEQUIM 404,CM,404
SEQUIM 405,CM,254
SEQUIM 402,CM,191
SEQUIM 403,CM,329
DRY CREEK 224,CM,278
CLALLAM BAY 215,CM,157
LOST MOUNTAIN 245,CM,171
SEQUIM 401,CM,185
RIVERSIDE 265,CM,287
BLACK DIAMOND 208,CM,174
SUNLAND SOUTH 271,CM,212
ELWHA 230,CM,88
Total,CM,16409
