Row Label,County,Eddie Yoon,Charles W. Johnson
COLUMBUS,KT,7,24
N DALLES,KT,89,218
ROOSEVELT,KT,13,47
GLENWOOD,KT,52,172
HGH PRAIRIE,KT,12,43
LYLE,KT,87,245
F VALLEY,KT,71,217
BINGEN,KT,39,76
WISHRAM,KT,13,61
WHITE SALMON,KT,95,248
ALDER CREEK,KT,22,94
ALDERDALE,KT,10,21
N WHITE SALMON,KT,70,133
PINE FOREST,KT,173,415
GOLDENDALE 3,KT,64,177
ORCHARD HTS,KT,32,144
GOLDENDALE 1,KT,92,256
N F VALLEY,KT,98,231
E LYLE,KT,34,81
E KLICKITAT,KT,21,57
W KLICKITAT,KT,12,47
HUSUM,KT,90,181
TROUT LAKE,KT,80,159
RIVER,KT,9,14
CENTERVILLE,KT,69,185
WOODLAND,KT,192,427
GOLDENDALE 2,KT,78,231
MT BROOK,KT,72,164
Total,KT,1723,4419
APPLETON,KT,27,51
