Row Label,County,Charles W. Johnson,Eddie Yoon,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,165,40,416,75,281,0,1
KEN 33-3232,KI,103,45,502,55,204,0,1
SEA 46-1968,KI,122,22,297,33,177,0,0
SEA 36-1391,KI,152,40,439,70,262,0,0
SEA 36-1390,KI,116,26,290,49,191,0,0
SEA 36-1393,KI,142,24,297,43,209,0,0
SEA 36-1392,KI,161,36,411,57,255,0,1
SEA 36-1395,KI,174,41,444,60,276,0,1
SEA 36-1394,KI,194,55,559,86,336,0,1
SEA 36-1397,KI,144,22,357,67,233,0,0
SEA 36-1396,KI,108,15,282,42,166,0,1
SEA 36-1399,KI,135,13,296,57,205,0,0
SEA 36-1398,KI,173,32,503,60,265,0,0
COV 47-2843,KI,219,70,792,105,395,0,1
BILOXI,KI,173,43,430,68,287,0,3
SHL 32-1209,KI,129,62,478,69,262,0,2
SEA 46-3687,KI,93,15,220,35,143,0,0
KIR 48-2731,KI,118,49,483,65,233,0,1
SEA 36-1403,KI,117,37,497,78,234,0,2
SEA 36-1402,KI,121,36,381,49,206,0,0
KEN 47-0835,KI,128,78,645,70,276,0,0
M-V 05-3368,KI,185,54,748,109,350,0,2
SEA 34-3637,KI,166,69,567,74,309,0,0
FED 30-3236,KI,179,97,746,72,351,0,3
FED 30-3237,KI,199,74,745,100,376,0,3
FED 30-3234,KI,80,38,382,45,163,0,0
FED 30-3235,KI,92,32,400,46,172,0,2
FED 30-3238,KI,88,31,359,28,148,0,1
SEA 37-1936,KI,141,24,296,57,222,0,0
BEL 48-2559,KI,151,50,431,57,259,0,1
SEA 37-1934,KI,282,68,784,120,472,0,2
AUB 30-0067,KI,87,37,430,38,164,0,2
WINTERGREEN,KI,95,23,279,42,161,0,1
TROUT LAKE,KI,168,102,719,80,352,0,2
SEA 34-1502,KI,135,23,342,65,223,0,0
ISS 05-0550,KI,85,27,300,58,172,0,2
SHL 32-0423,KI,130,28,389,66,224,0,0
SHL 32-0920,KI,103,32,314,51,188,0,2
SEA 37-1638,KI,81,37,505,44,162,0,0
SHL 32-0424,KI,110,29,318,51,192,0,2
SEA 37-1635,KI,98,51,524,48,199,0,2
