Row Label,County,Pat Kelleher,Paul V Rogers
DAMMAN,KS,117,194
VANTAGE,KS,14,8
PARK,KS,140,175
TEANAWAY,KS,141,95
ELLENSBURG 20,KS,32,34
CLE ELUM 4,KS,121,81
ELLENSBURG 22,KS,58,91
ELLENSBURG 23,KS,94,89
CLE ELUM 1,KS,79,65
ELLENSBURG 25,KS,138,133
CLE ELUM 3,KS,24,15
CLE ELUM 2,KS,54,33
SOUTH CLE ELUM,KS,82,73
FAIRVIEW,KS,87,113
RONALD,KS,55,49
NORTHEAST FAIRVIEW,KS,144,169
ELLENSBURG 24,KS,154,174
ELLENSBURG 9,KS,29,46
ELLENSBURG 8,KS,31,43
RIDGEWAY,KS,163,278
ELLENSBURG 1,KS,18,22
ELLENSBURG 2,KS,35,35
ELLENSBURG 5,KS,35,38
ELLENSBURG 4,KS,18,18
ELLENSBURG 7,KS,25,25
ELLENSBURG 6,KS,26,26
EAST SANDERS,KS,127,156
THRALL,KS,114,167
ELLENSBURG 21,KS,53,44
MOUNTAIN,KS,58,41
HYAK,KS,40,26
ROSLYN 1,KS,67,57
ROSLYN 2,KS,41,57
KITTITAS 1,KS,55,65
KACHESS,KS,37,32
MANASTASH,KS,95,142
DENMARK,KS,167,230
ROSLYN OUTLYING,KS,19,26
SOUTH ELLENSBURG,KS,201,180
DRY CREEK,KS,157,181
NORTH CENTRAL,KS,113,141
ELLENSBURG 11,KS,35,78
ELLENSBURG 10,KS,45,75
ELLENSBURG 13,KS,38,46
ELLENSBURG 12,KS,39,62
ELLENSBURG 15,KS,71,65
ELLENSBURG 14,KS,44,80
ELLENSBURG 17,KS,75,78
ELLENSBURG 16,KS,84,123
ELLENSBURG 19,KS,114,134
ELLENSBURG 18,KS,10,20
WESTSIDE,KS,144,135
EASTON,KS,127,136
PEOH POINT,KS,127,115
SANDERS,KS,54,79
KITTITAS 2,KS,59,69
NORTH ELLENSBURG,KS,173,203
THORP,KS,111,139
SWAUK,KS,85,83
Total,KS,4693,5387
